tanh_profile function in utils/binning_planar.py -> tanh_profile(psi_cc, *popt)rho_l, rho_v, z01, z02, w1, w2, A, freq, phase, d
8.400142458635888598e-01
1.207004734450806832e-03
2.461631225861583872e+01
8.534636567705803367e-01
1.625027596419195142e+00
1.390861284919128749e-02
3.702132438355587030e-01
1.470760627860551395e+01
2.806900207894021948e-01
2.337018460676833220e-02
