psi,rho_mean,rho_fit,rho_std
1.000000000000000056e-01,0.000000000000000000e+00,3.348992056988804154e-07,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,5.038659033076445228e-06,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,4.480896023781567536e-05,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,2.471961639534672674e-04,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,9.632534574135468873e-04,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,6.151505419976727694e-03,0.000000000000000000e+00
1.300000000000000266e+00,3.223749999999999533e-02,7.322112852607631783e-02,1.544759817815326243e-03
1.500000000000000000e+00,4.687775000000000136e-01,4.457474122858892662e-01,7.631987307586270489e-03
1.700000000000000178e+00,7.621550000000001379e-01,7.871781589157468284e-01,8.291544519950181519e-03
1.899999999999999911e+00,6.639775000000001093e-01,6.750604380310876174e-01,6.578823183038459525e-03
2.100000000000000089e+00,5.597899999999998988e-01,5.507171179027426922e-01,7.217296475900972924e-03
2.300000000000000266e+00,5.585299999999999709e-01,6.016997767985358125e-01,7.168964543891885415e-03
2.500000000000000000e+00,6.933949999999999836e-01,7.263470113425695152e-01,7.305115367077763197e-03
2.700000000000000178e+00,7.792600000000001748e-01,7.792399312122116894e-01,5.573093254293583036e-03
2.900000000000000355e+00,7.249074999999998159e-01,7.380104681354621166e-01,7.443917951837209293e-03
3.100000000000000089e+00,6.654049999999999132e-01,6.796898629790795177e-01,8.835587431696767524e-03
3.300000000000000266e+00,6.707075000000000120e-01,6.656910948234248115e-01,6.769693979711884774e-03
3.500000000000000000e+00,7.222024999999999695e-01,6.888888320552957190e-01,6.310694244067392537e-03
3.700000000000000178e+00,7.447500000000000231e-01,7.106764422615277077e-01,5.970343373709745792e-03
3.900000000000000355e+00,7.140425000000001354e-01,7.121139941575107546e-01,5.436941743877312869e-03
4.099999999999999645e+00,6.874049999999999327e-01,7.022785227433632205e-01,6.869764034865881441e-03
4.300000000000000711e+00,6.962574999999999736e-01,6.958298099376364343e-01,6.703676819084930516e-03
4.500000000000000000e+00,7.198749999999999316e-01,6.965943042489398662e-01,1.082004110314207894e-02
4.700000000000001066e+00,7.185299999999998910e-01,6.998536838267702676e-01,4.865571854744732416e-03
4.900000000000000355e+00,7.076649999999999885e-01,7.013388321836960815e-01,6.719063609571918928e-03
5.099999999999999645e+00,6.947700000000001097e-01,7.008212568702097967e-01,7.445775913050859708e-03
5.300000000000000711e+00,7.003250000000000863e-01,6.999614012216499592e-01,7.102510675439837988e-03
5.500000000000000000e+00,7.087575000000000403e-01,6.997034859385252714e-01,6.807450929525290552e-03
5.700000000000001066e+00,7.096875000000000266e-01,6.998807083553539865e-01,9.618880487983268168e-03
5.900000000000000355e+00,7.055149999999998922e-01,7.000577241535710371e-01,7.697232927282493010e-03
6.099999999999999645e+00,6.981849999999999445e-01,7.000821570079164280e-01,8.733316425589648241e-03
6.300000000000000711e+00,7.009775000000000311e-01,7.000316718939392224e-01,7.787058680576174757e-03
6.500000000000000000e+00,7.028174999999998729e-01,6.999933622689169521e-01,5.650297500318483129e-03
6.700000000000001066e+00,7.073250000000000925e-01,6.999820243876127002e-01,7.305846613284605780e-03
6.900000000000000355e+00,7.021975000000000300e-01,6.999767271049009976e-01,6.094701646339603478e-03
7.099999999999999645e+00,6.986175000000000024e-01,6.999628606743441006e-01,6.831954236103350737e-03
7.300000000000000711e+00,6.998749999999999138e-01,6.999389458488625149e-01,7.512857400203307515e-03
7.500000000000000000e+00,7.013324999999999143e-01,6.999069668702850855e-01,6.516947037088031795e-03
7.700000000000001066e+00,7.024899999999999478e-01,6.998662856716637570e-01,8.267097116693515255e-03
7.900000000000000355e+00,6.996200000000001307e-01,6.998136704598543201e-01,7.533895336900336276e-03
8.100000000000001421e+00,6.983850000000000335e-01,6.997447422923159799e-01,6.802265489487569448e-03
8.300000000000000711e+00,6.967274999999999441e-01,6.996543039659162133e-01,7.280841387902193575e-03
8.500000000000000000e+00,7.032450000000001200e-01,6.995358004711316191e-01,8.945064796329104187e-03
8.699999999999999289e+00,6.984949999999999770e-01,6.993806281166805583e-01,7.595807361543887269e-03
8.900000000000000355e+00,6.976674999999998850e-01,6.991774691806327269e-01,6.620090534442147137e-03
9.100000000000001421e+00,6.989074999999999038e-01,6.989115104798990785e-01,5.701391219878290152e-03
9.300000000000000711e+00,6.979875000000002050e-01,6.985634078856656215e-01,6.677867509443718638e-03
9.500000000000000000e+00,6.962749999999999773e-01,6.981079204405595817e-01,6.943256857518213636e-03
9.700000000000001066e+00,6.947550000000000114e-01,6.975121441641793929e-01,6.209434672123411401e-03
9.900000000000000355e+00,6.995199999999999196e-01,6.967332491530348060e-01,6.325437367861343543e-03
1.010000000000000142e+01,6.951849999999999419e-01,6.957155976769423544e-01,5.729588485268938616e-03
1.030000000000000071e+01,6.919949999999999157e-01,6.943871049785713678e-01,6.673019122595589582e-03
1.050000000000000000e+01,6.905650000000000954e-01,6.926547005739080998e-01,8.038658241011952324e-03
1.070000000000000107e+01,6.916074999999999307e-01,6.903987655588277317e-01,5.592741418923943310e-03
1.090000000000000036e+01,6.884500000000001174e-01,6.874664812709644357e-01,6.329629572598688761e-03
1.110000000000000142e+01,6.810949999999998949e-01,6.836641597519401703e-01,6.904001509422294167e-03
1.130000000000000071e+01,6.765149999999998665e-01,6.787488855866561366e-01,7.092325355436576891e-03
1.150000000000000000e+01,6.724824999999998720e-01,6.724202478491820845e-01,1.132432494793026052e-02
1.170000000000000107e+01,6.649724999999999664e-01,6.643136563428790886e-01,9.072492766599497133e-03
1.190000000000000036e+01,6.531099999999999683e-01,6.539977775579177699e-01,6.263692369941486690e-03
1.210000000000000142e+01,6.360700000000001353e-01,6.409799699317276778e-01,5.433240769849786121e-03
1.230000000000000071e+01,6.227574999999998528e-01,6.247250163645697851e-01,8.116070396701263387e-03
1.250000000000000000e+01,6.044749999999998735e-01,6.046933299203834933e-01,9.858772476167716389e-03
1.270000000000000107e+01,5.801974999999999216e-01,5.804039855211466925e-01,8.707837894074149307e-03
1.290000000000000036e+01,5.498549999999999827e-01,5.515237857097274876e-01,6.766420572830297506e-03
1.310000000000000142e+01,5.130725000000000424e-01,5.179747439174120505e-01,6.497944513054654606e-03
1.330000000000000071e+01,4.784449999999999537e-01,4.800394100141260889e-01,8.620979612183533869e-03
1.350000000000000000e+01,4.393925000000000192e-01,4.384308326981966042e-01,8.079201286083461872e-03
1.370000000000000107e+01,3.971649999999999903e-01,3.942903002625292030e-01,6.182341150831389964e-03
1.390000000000000036e+01,3.524225000000000829e-01,3.490899270386525477e-01,6.570998382045304016e-03
1.410000000000000142e+01,3.059500000000000552e-01,3.044488929252928688e-01,6.602571269469275674e-03
1.430000000000000071e+01,2.670924999999999550e-01,2.619081328912942208e-01,7.719954918739390347e-03
1.450000000000000000e+01,2.270725000000000660e-01,2.227273637413561269e-01,5.976565529324999286e-03
1.470000000000000107e+01,1.895449999999999635e-01,1.877579451455442250e-01,5.642505509173437704e-03
1.490000000000000036e+01,1.571099999999999719e-01,1.574121440901240787e-01,6.471650728979026247e-03
1.510000000000000142e+01,1.297174999999999856e-01,1.317142364530633769e-01,4.562613372780304974e-03
1.530000000000000071e+01,1.077625000000000249e-01,1.103987917478885805e-01,5.016076129490271325e-03
1.550000000000000000e+01,8.957250000000001322e-02,9.302035772685623982e-02,4.470325403203475635e-03
1.570000000000000107e+01,7.461500000000001465e-02,7.904964804305636417e-02,5.150986108963685056e-03
1.590000000000000036e+01,6.308249999999999968e-02,6.794489447834434204e-02,2.953155092439271358e-03
1.610000000000000142e+01,5.334749999999999215e-02,5.919734851652885821e-02,2.503548796997447611e-03
1.630000000000000071e+01,4.789750000000000951e-02,5.235542691361855239e-02,2.155072046664748085e-03
1.650000000000000000e+01,4.331249999999999684e-02,4.703367289981946753e-02,2.427250718947587382e-03
1.670000000000000284e+01,3.953999999999999876e-02,4.291220622834213128e-02,2.321558006802191664e-03
1.689999999999999858e+01,3.652249999999999941e-02,3.973099631631532569e-02,2.397008826806749753e-03
1.710000000000000142e+01,3.479499999999999954e-02,3.728188659244863201e-02,2.117651380284548551e-03
1.730000000000000071e+01,3.431999999999998940e-02,3.540015319519923542e-02,1.841509678154541058e-03
1.750000000000000000e+01,3.298250000000000487e-02,3.395656818989484238e-02,1.511036155476729037e-03
1.770000000000000284e+01,3.232500000000000651e-02,3.285041331994614788e-02,1.392035616604236437e-03
1.789999999999999858e+01,3.193000000000000005e-02,3.200357962178118632e-02,1.181925280388338535e-03
1.810000000000000142e+01,3.187250000000000499e-02,3.135572036126182960e-02,1.976871198849864363e-03
1.830000000000000071e+01,3.137000000000000205e-02,3.086034552329480762e-02,9.601809040077045627e-04
1.850000000000000000e+01,3.065499999999999822e-02,3.048171824509254835e-02,1.545443216958198229e-03
1.870000000000000284e+01,3.044749999999999540e-02,3.019241330414595970e-02,1.774191810077863996e-03
1.889999999999999858e+01,3.053499999999999964e-02,2.997141069196734842e-02,1.825845153980969237e-03
1.910000000000000142e+01,3.033250000000000529e-02,2.980261524027288944e-02,1.830320291211637133e-03
1.930000000000000426e+01,3.035500000000000004e-02,2.967371185363415487e-02,2.076808026503020130e-03
1.950000000000000000e+01,3.010250000000001119e-02,2.957528303138307058e-02,2.032853516870468998e-03
1.970000000000000284e+01,2.991249999999999118e-02,2.950013018924751984e-02,1.971432487464782040e-03
1.989999999999999858e+01,3.032249999999999529e-02,2.944275264868745356e-02,1.302979884321844601e-03
2.010000000000000142e+01,2.998750000000000027e-02,2.939894820814814569e-02,1.428826809879902736e-03
2.030000000000000426e+01,2.976499999999999632e-02,2.936550724002723323e-02,1.401512341046365134e-03
2.050000000000000000e+01,2.937500000000000180e-02,2.933997859829529098e-02,1.895111439578436039e-03
2.070000000000000284e+01,2.977749999999999495e-02,2.932049058628127813e-02,2.035634842138028290e-03
2.089999999999999858e+01,2.991500000000000409e-02,2.930561409641979642e-02,1.836264801452294065e-03
2.110000000000000142e+01,3.086249999999999410e-02,2.929425802443935689e-02,1.831082150561591125e-03
2.130000000000000426e+01,3.062499999999999598e-02,2.928558936816416658e-02,2.525996416216152226e-03
2.150000000000000000e+01,3.019000000000000156e-02,2.927897219712055632e-02,2.556446958697085672e-03
2.170000000000000284e+01,3.016999999999999543e-02,2.927392104327708466e-02,1.771885703810610222e-03
2.189999999999999858e+01,3.017249999999999793e-02,2.927006530946879570e-02,1.767281215521978406e-03
2.210000000000000142e+01,3.070499999999999965e-02,2.926712209353432570e-02,1.879802621217674602e-03
2.230000000000000426e+01,3.047249999999999612e-02,2.926487543967098981e-02,2.068401047847550234e-03
2.250000000000000000e+01,2.982500000000000082e-02,2.926316049776678252e-02,2.014258385139618655e-03
2.270000000000000284e+01,3.006750000000000395e-02,2.926185143023674051e-02,2.019658321806465286e-03
2.289999999999999858e+01,3.011500000000000982e-02,2.926085218007812294e-02,2.073142796006000304e-03
2.310000000000000142e+01,2.973500000000000101e-02,2.926008942334989982e-02,1.699698115610689345e-03
2.330000000000000426e+01,2.991000000000000256e-02,2.925950718930192540e-02,2.036999857892149088e-03
2.350000000000000000e+01,2.986750000000000169e-02,2.925906275359496655e-02,2.095689498395268170e-03
2.370000000000000284e+01,3.041500000000000453e-02,2.925872350337976879e-02,1.556911585225867782e-03
2.389999999999999858e+01,2.993749999999999536e-02,2.925846454426628274e-02,1.850097792578884884e-03
2.410000000000000142e+01,3.019499999999999268e-02,2.925826687362292899e-02,2.067219082932940811e-03
2.430000000000000426e+01,3.076250000000000512e-02,2.925811598618577314e-02,1.624149575040815608e-03
2.450000000000000000e+01,3.024750000000000008e-02,2.925800080967044803e-02,2.197455166897909189e-03
2.470000000000000284e+01,3.087750000000000217e-02,2.925791289228846237e-02,1.315742235994173592e-03
2.489999999999999858e+01,3.071500000000000272e-02,2.925784578255291590e-02,1.799203039945010711e-03
2.510000000000000142e+01,3.055749999999999786e-02,2.925779455586408062e-02,2.070422979922091969e-03
2.530000000000000426e+01,2.999750000000000333e-02,2.925775545313902271e-02,2.253621354736929858e-03
2.550000000000000000e+01,2.971500000000000183e-02,2.925772560496631147e-02,2.369771252562930322e-03
2.570000000000000284e+01,2.985499999999999959e-02,2.925770282104545039e-02,1.845328383270918287e-03
2.589999999999999858e+01,2.997999999999999970e-02,2.925768542946016737e-02,1.774482875004493093e-03
2.610000000000000142e+01,2.962250000000000300e-02,2.925767215399122101e-02,1.543277015758486763e-03
2.630000000000000426e+01,2.955999999999999600e-02,2.925766202046570230e-02,1.225024167323370342e-03
2.650000000000000000e+01,3.018000000000000196e-02,2.925765428527082879e-02,1.478299164936729398e-03
2.670000000000000284e+01,2.967499999999999999e-02,2.925764838078687147e-02,1.745709025009608770e-03
2.689999999999999858e+01,2.971749999999999739e-02,2.925764387373419595e-02,1.595493241668709478e-03
2.710000000000000142e+01,2.958999999999999825e-02,2.925764043337869547e-02,1.484800181488192192e-03
2.730000000000000426e+01,2.993000000000000174e-02,2.925763780726209351e-02,2.093310146256654059e-03
