tanh_profile function in utils/binning_planar.py -> tanh_profile(psi_cc, *popt)rho_l, rho_v, z01, z02, w1, w2, A, freq, phase, d
8.364536471515713334e-01
1.452954708696104413e-03
2.224335410322405693e+01
1.459474436348775939e+00
1.594307137951463060e+00
1.883497464046758330e-01
4.105869980283999299e-01
6.592596553137061832e+00
1.390800200268741094e+01
1.199237720084053294e+01
