psi,rho_mean,rho_fit
0.1,0.0,0.0
0.30000000000000004,0.0,0.0
0.5,5e-324,5e-324
0.7000000000000001,5e-324,5e-324
0.9,2.7889423668415388e-74,2.7889423668415388e-74
1.1,2.0027844373438543e-11,2.0027844373438543e-11
1.3000000000000003,0.020165920029655424,0.020165920029655424
1.5,0.25748837781659795,0.25748837781659795
1.7,0.3360171380320125,0.3360171380320125
1.9,0.35924041725445793,0.35924041725445793
2.1,0.3749667167014515,0.3749667167014515
2.3,0.3924336515456137,0.3924336515456137
2.5,0.4114648264315476,0.4114648264315476
2.7,0.42730095779245963,0.42730095779245963
2.9000000000000004,0.43853995846861804,0.43853995846861804
3.1,0.44652718057615354,0.44652718057615354
3.3,0.452445941706435,0.452445941706435
3.5,0.45687137120840576,0.45687137120840576
3.7,0.460024060213331,0.460024060213331
3.9,0.46205266592026095,0.46205266592026095
4.1,0.4632318486567585,0.4632318486567585
4.300000000000001,0.4638185510396909,0.4638185510396909
4.5,0.46394327460162327,0.46394327460162327
4.700000000000001,0.4636967435302472,0.4636967435302472
4.9,0.46315659363247597,0.46315659363247597
5.1,0.46239353548867335,0.46239353548867335
5.300000000000001,0.4614679735000092,0.4614679735000092
5.5,0.4604264456514517,0.4604264456514517
5.700000000000001,0.45930412006860033,0.45930412006860033
5.9,0.45812839388571586,0.45812839388571586
6.1,0.4569210825576891,0.4569210825576891
6.300000000000001,0.45569946877089945,0.45569946877089945
6.5,0.4544769185832067,0.4544769185832067
6.700000000000001,0.45326352852473534,0.45326352852473534
6.9,0.4520668406789169,0.4520668406789169
7.1,0.4508923842514565,0.4508923842514565
7.3,0.449744054753003,0.449744054753003
7.5,0.44862441928746966,0.44862441928746966
7.700000000000002,0.4475345301796972,0.4475345301796972
7.9,0.44647475346086657,0.44647475346086657
8.100000000000001,0.4454451327430222,0.4454451327430222
8.3,0.44444513783644407,0.44444513783644407
8.5,0.4434731973688408,0.4434731973688408
8.699999999999998,0.44252603276298963,0.44252603276298963
8.9,0.4415985698828028,0.4415985698828028
9.1,0.4406935632482286,0.4406935632482286
9.3,0.4398218914549174,0.4398218914549174
9.5,0.4389846141664856,0.4389846141664856
9.7,0.4381818314743743,0.4381818314743743
9.9,0.4374138876463931,0.4374138876463931
10.1,0.43601423758600105,0.43601423758600105
10.3,0.4353562739038335,0.4353562739038335
10.5,0.43473219450067846,0.43473219450067846
10.7,0.43414209589314917,0.43414209589314917
10.9,0.4335857028850176,0.4335857028850176
11.1,0.43306601215047114,0.43306601215047114
11.3,0.4325927383828177,0.4325927383828177
11.5,0.4321614531021489,0.4321614531021489
11.7,0.43176529524033397,0.43176529524033397
11.9,0.4313996227990064,0.4313996227990064
12.1,0.43106117232675895,0.43106117232675895
12.3,0.4307472516574131,0.4307472516574131
12.5,0.43045520294429424,0.43045520294429424
12.7,0.4301820105165591,0.4301820105165591
12.9,0.42992508749718017,0.42992508749718017
13.1,0.4296821814721674,0.4296821814721674
13.3,0.42945113711284943,0.42945113711284943
13.5,0.4292298809856559,0.4292298809856559
13.7,0.4290164095348194,0.4290164095348194
13.9,0.4288087924031729,0.4288087924031729
14.1,0.4286051645887229,0.4286051645887229
14.3,0.4284037025163148,0.4284037025163148
14.5,0.42820260319720177,0.42820260319720177
14.7,0.4280000673768506,0.4280000673768506
14.9,0.42779428428261335,0.42779428428261335
15.1,0.4275834162710962,0.4275834162710962
15.3,0.4273655826397804,0.4273655826397804
15.5,0.42713884296227067,0.42713884296227067
15.7,0.42690118048708353,0.42690118048708353
15.9,0.42665048517997595,0.42665048517997595
16.1,0.4263845362162921,0.4263845362162921
16.3,0.4261009838105013,0.4261009838105013
16.5,0.4257973303099622,0.4257973303099622
16.700000000000003,0.4254709104957029,0.4254709104957029
16.9,0.4251188710157047,0.4251188710157047
17.1,0.4247381488822382,0.4247381488822382
17.3,0.4243254489883593,0.4243254489883593
17.5,0.42387722062417144,0.42387722062417144
17.700000000000003,0.4233896330009113,0.4233896330009113
17.9,0.42285854982293974,0.42285854982293974
18.1,0.4222795029875732,0.4222795029875732
18.3,0.42164766554268873,0.42164766554268873
