psi,rho_mean,rho_fit,rho_std
1.000000000000000056e-01,0.000000000000000000e+00,3.050357077456616076e-07,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,4.520667381117107304e-06,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,4.125095453240636330e-05,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,2.378215247970833521e-04,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,9.864606001610738174e-04,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,6.314389427046252640e-03,0.000000000000000000e+00
1.300000000000000266e+00,3.188500000000000362e-02,7.312743086989320629e-02,9.887658442406077174e-04
1.500000000000000000e+00,4.693324999999999858e-01,4.459318911215611192e-01,6.315233774895352703e-03
1.700000000000000178e+00,7.622050000000000214e-01,7.881740258186479275e-01,8.246193699296399185e-03
1.899999999999999911e+00,6.668224999999998737e-01,6.789373439466526161e-01,7.065045070068931392e-03
2.100000000000000089e+00,5.616424999999999335e-01,5.524928749317106202e-01,7.049995800670645976e-03
2.300000000000000266e+00,5.551249999999998685e-01,6.000824286151315023e-01,6.693073796254236062e-03
2.500000000000000000e+00,6.925025000000000208e-01,7.259248147647240357e-01,7.465384591919101663e-03
2.700000000000000178e+00,7.824925000000000352e-01,7.818089937815506651e-01,7.969419760295555835e-03
2.900000000000000355e+00,7.277025000000000299e-01,7.400214144873968891e-01,6.275903688335502523e-03
3.100000000000000089e+00,6.666199999999999903e-01,6.782098641894012125e-01,6.909859469970218958e-03
3.300000000000000266e+00,6.708000000000000629e-01,6.625571482794546663e-01,6.703023669642635407e-03
3.500000000000000000e+00,7.216699999999998116e-01,6.876944889504689185e-01,9.183973454940543360e-03
3.700000000000000178e+00,7.445524999999999505e-01,7.121094017386782049e-01,5.677366768234420186e-03
3.900000000000000355e+00,7.192374999999999741e-01,7.138858180444753732e-01,8.681102813158675380e-03
4.099999999999999645e+00,6.909950000000002479e-01,7.024741381643003768e-01,7.357432690108264492e-03
4.300000000000000711e+00,6.942200000000000593e-01,6.947803813534259021e-01,5.113923203013101375e-03
4.500000000000000000e+00,7.177774999999999572e-01,6.957038796392094326e-01,7.489948966869917207e-03
4.700000000000001066e+00,7.215925000000001921e-01,6.997767289231401344e-01,8.477652899488780786e-03
4.900000000000000355e+00,7.076500000000000012e-01,7.016756708929546837e-01,7.544342599800051528e-03
5.099999999999999645e+00,6.994124999999999925e-01,7.009877634042950278e-01,6.157983158384508320e-03
5.300000000000000711e+00,7.033074999999999743e-01,6.998253698310876736e-01,9.571480045591603675e-03
5.500000000000000000e+00,7.085050000000001624e-01,6.994745685605512353e-01,7.233345662532955980e-03
5.700000000000001066e+00,7.106999999999998874e-01,6.997370831787385059e-01,7.896151627616828858e-03
5.900000000000000355e+00,7.043274999999999952e-01,7.000040043377050436e-01,7.520734059217476682e-03
6.099999999999999645e+00,7.015149999999999997e-01,7.000460467968654399e-01,8.184647052159361655e-03
6.300000000000000711e+00,7.016450000000000742e-01,6.999746092258135599e-01,8.217229972506097727e-03
6.500000000000000000e+00,7.063475000000000170e-01,6.999252580828945192e-01,5.626195194660512169e-03
