tanh_profile function in utils/binning_planar.py -> tanh_profile(psi_cc, *popt)rho_l, rho_v, z01, z02, w1, w2, A, freq, phase, d
5.935409173068646460e-01
8.988047862011352973e-02
1.095105800110773586e+01
1.516642473233499544e+00
5.725672877500760372e+00
2.952208598209544177e-01
7.641955741145599612e-01
3.571260710686061213e+00
2.034918500215161075e+01
2.415877391221068926e+00
