psi,rho_mean,rho_fit,rho_std
5.000000000000000278e-02,0.000000000000000000e+00,1.040489272002230550e-08,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,3.630534397016606062e-08,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,1.153924725805043658e-07,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,3.331852304591169930e-07,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,8.714916505972358706e-07,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,2.085520023681114949e-06,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,4.883622612643118656e-06,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,1.366411013302854796e-05,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00,5.494661637494946502e-05,0.000000000000000000e+00
9.499999999999999556e-01,0.000000000000000000e+00,2.741494641854111988e-04,0.000000000000000000e+00
1.050000000000000044e+00,0.000000000000000000e+00,1.367122087751206387e-03,0.000000000000000000e+00
1.150000000000000133e+00,5.466016991504249052e-06,6.268449820428246763e-03,1.368494786801388080e-05
1.250000000000000000e+00,3.164042978510745244e-03,2.579770083910165948e-02,4.110754910680859925e-04
1.350000000000000089e+00,6.800505997001500547e-02,9.197955429596912924e-02,1.533009654863321664e-03
1.450000000000000178e+00,2.765195527236381512e-01,2.571486211392963739e-01,3.530218867587477018e-03
1.550000000000000044e+00,4.924740754622689010e-01,4.856366939771913915e-01,5.170780460540845731e-03
1.650000000000000133e+00,5.930620627186405924e-01,6.127148064604985844e-01,5.697198674850186689e-03
1.750000000000000000e+00,5.966602636181910224e-01,6.101276354053470907e-01,5.758844111105723522e-03
1.850000000000000089e+00,5.601457083958021332e-01,5.572339462125185383e-01,5.708957958797109163e-03
1.950000000000000178e+00,5.195902048975510334e-01,5.061677525730212679e-01,5.390363367653605055e-03
2.049999999999999822e+00,4.880895489755123218e-01,4.768914477390059914e-01,3.767965181530366983e-03
2.150000000000000355e+00,4.703210894552722898e-01,4.732017184632713591e-01,4.270200031605006843e-03
2.250000000000000000e+00,4.708942403798103138e-01,4.906263952510451221e-01,4.315602492018966348e-03
2.350000000000000533e+00,4.932807033983009348e-01,5.207025417970232439e-01,4.266699441503794994e-03
2.450000000000000178e+00,5.409131371814094313e-01,5.541468311590532769e-01,5.861173850038584564e-03
2.549999999999999822e+00,5.889750437281361384e-01,5.832183129712958936e-01,4.995821782949475334e-03
2.650000000000000355e+00,6.209012681159421509e-01,6.030934024587076836e-01,4.646737039816923806e-03
2.750000000000000000e+00,6.266304347826088250e-01,6.122053526247113187e-01,5.283724210612618551e-03
2.850000000000000533e+00,6.156515492253874511e-01,6.117342827848881726e-01,5.209193013069502061e-03
2.950000000000000178e+00,5.979322838580710675e-01,6.045915958611164376e-01,4.914088043445519367e-03
3.049999999999999822e+00,5.831428035982011426e-01,5.942786396792222314e-01,5.294442475888843855e-03
3.150000000000000355e+00,5.753092203898049206e-01,5.839295754975697417e-01,4.733295789873389128e-03
3.250000000000000000e+00,5.734968453273363576e-01,5.757174752337262946e-01,4.828918180744103464e-03
