tanh_profile function in utils/binning_planar.py -> tanh_profile(psi_cc, *popt)rho_l, rho_v, z01, z02, w1, w2, A, freq, phase, d
7.862635190482170078e-01
7.536992328078996432e-03
2.331560116316591191e+01
1.462733257962486766e+00
2.051216829563966559e+00
2.383785117452021651e-01
-3.059594724545933730e-01
6.377621066799576077e+00
1.121214924245865951e+01
1.007249015631064637e+01
