psi,rho_mean,rho_fit,rho_std
5.000000000000000278e-02,0.000000000000000000e+00,6.379358155240611337e-14,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,3.934159479345265657e-13,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,2.896341682022914774e-12,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,2.891503400781680319e-11,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,3.325012599967606759e-10,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,3.663111119776942274e-09,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,3.607691276507504956e-08,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,3.130691505254479129e-07,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00,2.396987407929200056e-06,0.000000000000000000e+00
9.499999999999999556e-01,0.000000000000000000e+00,1.638769191635554772e-05,0.000000000000000000e+00
1.050000000000000044e+00,0.000000000000000000e+00,1.043838343245200820e-04,0.000000000000000000e+00
1.150000000000000133e+00,0.000000000000000000e+00,6.955877003436935265e-04,0.000000000000000000e+00
1.250000000000000000e+00,5.723700649675162811e-04,5.685969453204366315e-03,1.396866334838587709e-04
1.350000000000000089e+00,4.731228135932034201e-02,5.406286562391850875e-02,1.520785152264872344e-03
1.450000000000000178e+00,3.633995502248875131e-01,3.586446275779827664e-01,3.366943293828372069e-03
1.550000000000000044e+00,8.489841016991503952e-01,8.567581615059214339e-01,5.564462463722978473e-03
1.650000000000000133e+00,1.084496033233383061e+00,1.065851585017272285e+00,8.062098648799725931e-03
1.750000000000000000e+00,1.045869252873563138e+00,1.069652751653506817e+00,7.005322654961564609e-03
1.850000000000000089e+00,8.976488318340830608e-01,9.570019487945800041e-01,6.806531563380132689e-03
1.950000000000000178e+00,7.493682846076958892e-01,7.928480138193106930e-01,5.147355834278945566e-03
2.049999999999999822e+00,6.407023050974511857e-01,6.475965673713750537e-01,5.431914132111533879e-03
2.150000000000000355e+00,5.789066404297850132e-01,5.778665980176127537e-01,4.210669525525565990e-03
2.250000000000000000e+00,5.682346326836581474e-01,6.058000982170571591e-01,4.553604417819522195e-03
2.350000000000000533e+00,6.326633558220888798e-01,7.127852924181624639e-01,5.021844073008229804e-03
2.450000000000000178e+00,7.856368690654672582e-01,8.500882424697228101e-01,5.560870674131334832e-03
2.549999999999999822e+00,9.562640554722635633e-01,9.608687914049981460e-01,5.011506470384065673e-03
2.650000000000000355e+00,1.024724356571714123e+00,1.003693143568136437e+00,7.570005187041728770e-03
2.750000000000000000e+00,9.769459020489754675e-01,9.678257597612068830e-01,6.326381049103555268e-03
2.850000000000000533e+00,8.734281296851572618e-01,8.747746341956195160e-01,6.384946367369291956e-03
2.950000000000000178e+00,7.736951836581706932e-01,7.666854908299214344e-01,6.293016169775272201e-03
3.049999999999999822e+00,7.124359695152423511e-01,6.875149360027619228e-01,5.816728568328000289e-03
3.150000000000000355e+00,6.929472763618191866e-01,6.653120876122315952e-01,5.365147864454787932e-03
3.250000000000000000e+00,7.194012368815592140e-01,7.026787912097524069e-01,5.660353362613950064e-03
3.350000000000000533e+00,7.841321526736632075e-01,7.784341647064763059e-01,5.888727309667290792e-03
3.450000000000000178e+00,8.634417166416790135e-01,8.586314190072605879e-01,5.540439621318695579e-03
3.549999999999999822e+00,9.208395802098949812e-01,9.114664859130440222e-01,6.152839316372250671e-03
3.650000000000000355e+00,9.229947526236883526e-01,9.196351837573245591e-01,5.768080766086744471e-03
3.750000000000000000e+00,8.818887431284355705e-01,8.854580842893551296e-01,5.809538869542043779e-03
3.850000000000000533e+00,8.222958833083459096e-01,8.275664765853297800e-01,5.561617409261172297e-03
3.950000000000000178e+00,7.734398425787105680e-01,7.715025154602570545e-01,5.860588436144047002e-03
4.050000000000000711e+00,7.472021801599203483e-01,7.387591798396873077e-01,5.408345810143049166e-03
4.150000000000000355e+00,7.521387743628186184e-01,7.388479952956000796e-01,5.390545332879811448e-03
4.250000000000000000e+00,7.819199775112443129e-01,7.671717788740375354e-01,5.280224548139721141e-03
4.349999999999999645e+00,8.262946651674163423e-01,8.087760398381407256e-01,6.635909651748111808e-03
4.450000000000000178e+00,8.617730197401297643e-01,8.456779931680085127e-01,6.348096581832466875e-03
4.550000000000000711e+00,8.751311844077959146e-01,8.643519237101763286e-01,6.122733132027511314e-03
4.650000000000000355e+00,8.622727698650676231e-01,8.603690135918143911e-01,5.533877084854130213e-03
4.750000000000000000e+00,8.342344452773612362e-01,8.387625238308217268e-01,6.688543325581956280e-03
4.850000000000000533e+00,8.032241691654171678e-01,8.106107289766024682e-01,5.305951597021250736e-03
4.950000000000000178e+00,7.821909357821090758e-01,7.877685925041226778e-01,5.399439079151820316e-03
5.050000000000000711e+00,7.770083708145927304e-01,7.781229580877412344e-01,5.946277828518638058e-03
5.150000000000000355e+00,7.894794790104948667e-01,7.831663493528968623e-01,6.058961002851116773e-03
5.250000000000000000e+00,8.078538855572214850e-01,7.984747037603844300e-01,5.380176907397645272e-03
5.350000000000000533e+00,8.308314592703649470e-01,8.164233784469469013e-01,5.181388932269301133e-03
5.450000000000000178e+00,8.445925474762620011e-01,8.296955992921772882e-01,5.387907303782527718e-03
5.550000000000000711e+00,8.440826461769114220e-01,8.340658191910215180e-01,5.333114653034404240e-03
5.650000000000000355e+00,8.324657983508244596e-01,8.294878424527566407e-01,6.192333297578331286e-03
5.750000000000000000e+00,8.142897301349326655e-01,8.193584516243672677e-01,5.082677166623230693e-03
5.850000000000000533e+00,8.006309345327338178e-01,8.085726635781688154e-01,5.136598283414767381e-03
5.950000000000000178e+00,7.946198775612195453e-01,8.013539011580067539e-01,5.587276925584959766e-03
6.050000000000000711e+00,7.968945214892555473e-01,7.997514953421175354e-01,5.469415121655134791e-03
6.150000000000000355e+00,8.051403985507247230e-01,8.032686501224516329e-01,4.545887589310256167e-03
6.250000000000000000e+00,8.174631434282860765e-01,8.095507190090025507e-01,4.622422959814033103e-03
6.350000000000000533e+00,8.262540604697651281e-01,8.156592704053878817e-01,5.250192323113781270e-03
6.450000000000000178e+00,8.304972513743129614e-01,8.193191027852830821e-01,5.963548817542255187e-03
6.550000000000000711e+00,8.273183720639680772e-01,8.196569684516616938e-01,5.855471470852633906e-03
6.650000000000000355e+00,8.181955897051473858e-01,8.172468582955820793e-01,5.795558070787644976e-03
6.750000000000000000e+00,8.105423850574711153e-01,8.135865362937561018e-01,6.563320755191629809e-03
6.850000000000000533e+00,8.045196151924040029e-01,8.103274147980916720e-01,6.402868708404762729e-03
6.950000000000000178e+00,8.031171914042980475e-01,8.086092755333792459e-01,5.514254093434879309e-03
7.050000000000000711e+00,8.067645864567716263e-01,8.087359061794372472e-01,7.128438947484982795e-03
7.150000000000000355e+00,8.125499750124939302e-01,8.102437325733424789e-01,5.303410805181973768e-03
7.250000000000000000e+00,8.173514805097452651e-01,8.122505994377795524e-01,4.868253050415404827e-03
7.350000000000000533e+00,8.222748000999504647e-01,8.138872703717052737e-01,5.893458157049475711e-03
7.450000000000000178e+00,8.217953523238379354e-01,8.146259304847505156e-01,6.061691643851755892e-03
7.550000000000000711e+00,8.185422913543228818e-01,8.144020343303927101e-01,6.104369479935475157e-03
7.650000000000000355e+00,8.140242378810594870e-01,8.135300292802893907e-01,5.651555793155407618e-03
7.750000000000000000e+00,8.076774112943528872e-01,8.124936077006962298e-01,5.910783903970722244e-03
7.850000000000000533e+00,8.081959020489756229e-01,8.117210873001554639e-01,4.607154924462166130e-03
7.950000000000000178e+00,8.095991066966518046e-01,8.114361296703215265e-01,5.563256082413551608e-03
8.050000000000000711e+00,8.103971451774111268e-01,8.116231515820329090e-01,6.344317708470659234e-03
8.150000000000000355e+00,8.135315154922537761e-01,8.120927394255794685e-01,5.453069039197892820e-03
8.250000000000000000e+00,8.167072713643179771e-01,8.125971849105456668e-01,4.696096339453061444e-03
8.350000000000001421e+00,8.178574775112446016e-01,8.129391783768236124e-01,5.456309606255688345e-03
8.449999999999999289e+00,8.173858383308343356e-01,8.130335973546627404e-01,4.774282596633737559e-03
8.550000000000000711e+00,8.123649112943528428e-01,8.129106134820820451e-01,4.965899337316244562e-03
8.650000000000000355e+00,8.132386931534231200e-01,8.126740489466142137e-01,4.694500094722334899e-03
8.750000000000000000e+00,8.107860132433785116e-01,8.124426153093331493e-01,4.997477905703219189e-03
8.850000000000001421e+00,8.108898675662170596e-01,8.123010722249205395e-01,4.906779087781067139e-03
8.949999999999999289e+00,8.095303910544728865e-01,8.122773894886654578e-01,5.491991195883732732e-03
9.050000000000000711e+00,8.126022926036982064e-01,8.123476825550779434e-01,5.385450524167998028e-03
9.150000000000000355e+00,8.155328585707150024e-01,8.124595064312016834e-01,4.852188531352443282e-03
9.250000000000000000e+00,8.135455709645175171e-01,8.125595730347791035e-01,5.372780376686365870e-03
9.350000000000001421e+00,8.157241691654172344e-01,8.126140713625213952e-01,6.391920058753577244e-03
9.449999999999999289e+00,8.151494565217395349e-01,8.126158866738819597e-01,4.685813470035090321e-03
9.550000000000000711e+00,8.122446589205398748e-01,8.125796475159378085e-01,4.520811045137439373e-03
9.650000000000002132e+00,8.107953835582211166e-01,8.125299481119704348e-01,5.373319529520519978e-03
9.750000000000000000e+00,8.121041041979008002e-01,8.124891959912672323e-01,7.071744395406877846e-03
9.850000000000001421e+00,8.119604260369814863e-01,8.124698282761981805e-01,5.267599719922369528e-03
9.949999999999999289e+00,8.129052661169414717e-01,8.124725898512058508e-01,6.210282569722500208e-03
1.005000000000000071e+01,8.121790667166419730e-01,8.124897460706462793e-01,5.429680092691673877e-03
1.015000000000000213e+01,8.135666541729135171e-01,8.125105420386090627e-01,6.056088896055154824e-03
1.025000000000000000e+01,8.143264305347325260e-01,8.125261576866100732e-01,5.989730326817480598e-03
1.035000000000000142e+01,8.136306846576712992e-01,8.125324251410445120e-01,6.130692847105941902e-03
1.044999999999999929e+01,8.141757246376812862e-01,8.125299556467513451e-01,6.034137330470057750e-03
1.055000000000000071e+01,8.128810594702647885e-01,8.125224225446882054e-01,5.391823302497267267e-03
1.065000000000000213e+01,8.135065279860070886e-01,8.125142232619647631e-01,5.441144148041632961e-03
1.075000000000000000e+01,8.108414542728635821e-01,8.125086022556065046e-01,4.907080104547965199e-03
1.085000000000000142e+01,8.107555597201400177e-01,8.125068029807965830e-01,6.152667407134715383e-03
1.094999999999999929e+01,8.135838330834580523e-01,8.125082449467517787e-01,5.751737989127514092e-03
1.105000000000000071e+01,8.147715204897550967e-01,8.125113314711910339e-01,6.214868408303224692e-03
1.115000000000000213e+01,8.127241066966516270e-01,8.125143788020988689e-01,5.358687863754829812e-03
1.125000000000000000e+01,8.129388430784605379e-01,8.125162748580552208e-01,5.885921817307614504e-03
1.135000000000000142e+01,8.137423475762119995e-01,8.125167060826198329e-01,6.070579331638400328e-03
1.144999999999999929e+01,8.139055472263868607e-01,8.125160084764624369e-01,5.096145798010867298e-03
1.155000000000000071e+01,8.126913105947024540e-01,8.125148237859115552e-01,5.573613855229459998e-03
1.165000000000000213e+01,8.120361694152924414e-01,8.125137561336952530e-01,5.379588478360547606e-03
1.175000000000000000e+01,8.121392428785604301e-01,8.125131589993774828e-01,5.308089259237797237e-03
1.185000000000000142e+01,8.139617691154422685e-01,8.125130890860260413e-01,5.649189442361756373e-03
1.194999999999999929e+01,8.120838018490755816e-01,8.125133876444280423e-01,6.056822240873051440e-03
1.205000000000000071e+01,8.137509370314840451e-01,8.125138147195138938e-01,6.646908567044760088e-03
1.215000000000000213e+01,8.128021926536730390e-01,8.125141672255677960e-01,5.543698980944991583e-03
1.225000000000000000e+01,8.129076086956521507e-01,8.125143418055810196e-01,5.917231520342590423e-03
1.235000000000000142e+01,8.137813905547227611e-01,8.125143380423225370e-01,6.130406291979193997e-03
1.244999999999999929e+01,8.127092703648175487e-01,8.125142218442740205e-01,5.203674356269105510e-03
1.255000000000000071e+01,8.128467016491753849e-01,8.125140769903406168e-01,5.338942362733144036e-03
1.265000000000000213e+01,8.113388618190903179e-01,8.125139673844646859e-01,5.885048873881545614e-03
1.275000000000000000e+01,8.130989192903547158e-01,8.125139204366581547e-01,5.494755898647044404e-03
1.285000000000000142e+01,8.132230759620191485e-01,8.125139302047921230e-01,5.708410778137222759e-03
1.294999999999999929e+01,8.134331271864067014e-01,8.125139719116001302e-01,5.458677276693689982e-03
1.305000000000000071e+01,8.140726511744125204e-01,8.125140181815762030e-01,5.672847357148417570e-03
1.315000000000000213e+01,8.133730009995002730e-01,8.125140502284639021e-01,6.179022252613885699e-03
1.325000000000000000e+01,8.138532296351823625e-01,8.125140616405498450e-01,5.841577811326337417e-03
1.335000000000000142e+01,8.129091704147927144e-01,8.125140560976025217e-01,5.419856312039193769e-03
1.344999999999999929e+01,8.119565217391303547e-01,8.125140421613777919e-01,5.671946830994911530e-03
1.355000000000000071e+01,8.121431471764115617e-01,8.125140282133070935e-01,6.242760803024841910e-03
1.365000000000000213e+01,8.128630997001498049e-01,8.125140193954892842e-01,6.228065029220166728e-03
1.375000000000000000e+01,8.132098013493250788e-01,8.125140169443501037e-01,7.026226883501622555e-03
1.385000000000000142e+01,8.129622688655673279e-01,8.125140192484284762e-01,6.653300602589504349e-03
1.394999999999999929e+01,8.127990692153923558e-01,8.125140235638703690e-01,5.640548359838348791e-03
1.405000000000000071e+01,8.143967078960518968e-01,8.125140274838581478e-01,5.745748172594110185e-03
1.415000000000000213e+01,8.141796289355320848e-01,8.125140297032587000e-01,5.013195203120927000e-03
1.425000000000000000e+01,8.124742316341831971e-01,8.125140300669555504e-01,4.856578154985470054e-03
1.435000000000000142e+01,8.128755934532736482e-01,8.125140291669664672e-01,5.767629055476462645e-03
1.444999999999999929e+01,8.113169977511246467e-01,8.125140278199801669e-01,4.956938166164042738e-03
1.455000000000000071e+01,8.134573338330836068e-01,8.125140266704543590e-01,5.720741088320447851e-03
1.465000000000000213e+01,8.134987193903049363e-01,8.125140260186731744e-01,6.220184105544025038e-03
1.475000000000000000e+01,8.117378810594704230e-01,8.125140258477283606e-01,6.535742339560377846e-03
1.485000000000000142e+01,8.135869565217391797e-01,8.125140259583282232e-01,5.069273640118555392e-03
1.494999999999999929e+01,8.130833020989506332e-01,8.125140261163806832e-01,5.389499049943101590e-03
1.505000000000000071e+01,8.126717891054472398e-01,8.125140261522578733e-01,5.463512203232707802e-03
1.515000000000000213e+01,8.127014617691152853e-01,8.125140259940850651e-01,5.864696617018529991e-03
1.525000000000000000e+01,8.126694465267364498e-01,8.125140256497345170e-01,5.849950937642695720e-03
1.535000000000000142e+01,8.128716891554226276e-01,8.125140251655872392e-01,5.108479239574655224e-03
1.544999999999999929e+01,8.130294227886057934e-01,8.125140245872253253e-01,4.831996289978155931e-03
1.555000000000000071e+01,8.125429472763618932e-01,8.125140239359056604e-01,5.524638473493694892e-03
1.565000000000000213e+01,8.134721701649173520e-01,8.125140232027897591e-01,5.908839433749948217e-03
1.575000000000000000e+01,8.131801286856572553e-01,8.125140223552687058e-01,5.218414746243898485e-03
1.585000000000000142e+01,8.129201024487754390e-01,8.125140213474701945e-01,5.194314639063756997e-03
1.594999999999999929e+01,8.128201524237884668e-01,8.125140201287538444e-01,5.204035673830899149e-03
1.605000000000000071e+01,8.123828710644680484e-01,8.125140186473408521e-01,4.790017524922076005e-03
1.614999999999999858e+01,8.128170289855068953e-01,8.125140168491982173e-01,5.325115967019153178e-03
1.625000000000000000e+01,8.134237568715638744e-01,8.125140146739301406e-01,4.496325589116066494e-03
1.635000000000000142e+01,8.128904297851078375e-01,8.125140120496483487e-01,5.531873800758218065e-03
1.645000000000000284e+01,8.125976074462768484e-01,8.125140088881362965e-01,5.816792800353092277e-03
1.655000000000000071e+01,8.124750124937530904e-01,8.125140050807092562e-01,5.818954722213709289e-03
1.664999999999999858e+01,8.140546914042977589e-01,8.125140004944646499e-01,5.598569028144121870e-03
1.675000000000000000e+01,8.124476824087958349e-01,8.125139949682745888e-01,5.015238374533579485e-03
1.685000000000000142e+01,8.132707083958020666e-01,8.125139883078790204e-01,5.713804384236498800e-03
1.695000000000000284e+01,8.136423975512242501e-01,8.125139802795871002e-01,4.524419559529973579e-03
1.705000000000000071e+01,8.127373813093453636e-01,8.125139706022885822e-01,6.224177645582109480e-03
1.714999999999999858e+01,8.128888680659670518e-01,8.125139589375642846e-01,5.967246219351264418e-03
1.725000000000000000e+01,8.145317966016993871e-01,8.125139448776843576e-01,5.542465123556581524e-03
1.735000000000000142e+01,8.119198213393302721e-01,8.125139279311884843e-01,6.326935558620853245e-03
1.745000000000000284e+01,8.125117128935533950e-01,8.125139075055984872e-01,5.956557071490245492e-03
1.755000000000000071e+01,8.128084395302350718e-01,8.125138828866741436e-01,6.497583465637361486e-03
1.764999999999999858e+01,8.127811094452774832e-01,8.125138532134568159e-01,6.510190734792677125e-03
1.775000000000000000e+01,8.133269302848575855e-01,8.125138174482008369e-01,6.301364287725052388e-03
1.785000000000000142e+01,8.135471326836583028e-01,8.125137743401169566e-01,4.636816713852713254e-03
1.795000000000000284e+01,8.125273300849573666e-01,8.125137223816492060e-01,5.201675357689128538e-03
1.805000000000000071e+01,8.132496251874061777e-01,8.125136597557566231e-01,6.413446958576976206e-03
1.814999999999999858e+01,8.138532296351825845e-01,8.125135842723654189e-01,5.530565643571809867e-03
1.825000000000000000e+01,8.117449087956021270e-01,8.125134932917705832e-01,5.707552763451279043e-03
1.835000000000000142e+01,8.136626999000501348e-01,8.125133836323188419e-01,6.031936800237158551e-03
1.845000000000000284e+01,8.131340579710141236e-01,8.125132514591409949e-01,5.527782551641945846e-03
1.855000000000000071e+01,8.127483133433284213e-01,8.125130921500459680e-01,4.908656654026656574e-03
1.864999999999999858e+01,8.136244377811097106e-01,8.125129001338832202e-01,4.884064860775334284e-03
1.875000000000000000e+01,8.137064280359820323e-01,8.125126686957221400e-01,6.391850752757053875e-03
1.885000000000000142e+01,8.124859445277364811e-01,8.125123897420319929e-01,6.038216668839121136e-03
1.895000000000000284e+01,8.116949337831086408e-01,8.125120535176562075e-01,5.886019754380657915e-03
1.905000000000000071e+01,8.148488255872063935e-01,8.125116482646800309e-01,5.325810651036396934e-03
1.915000000000000213e+01,8.114583333333331705e-01,8.125111598112684241e-01,5.780939277455086379e-03
1.925000000000000000e+01,8.126171289355322847e-01,8.125105710760953670e-01,6.039875611110951878e-03
1.935000000000000142e+01,8.128670039980007145e-01,8.125098614710424272e-01,4.969929522333924043e-03
1.945000000000000284e+01,8.132746126936528652e-01,8.125090061812820785e-01,4.836877828618332646e-03
1.955000000000000071e+01,8.134245377311344338e-01,8.125079752975801206e-01,6.122675615462728690e-03
1.965000000000000213e+01,8.131410857071464937e-01,8.125067327704889042e-01,5.770121517754303424e-03
1.975000000000000000e+01,8.126967766116941494e-01,8.125052351498757153e-01,5.563607858818902206e-03
1.985000000000000142e+01,8.126382121439280626e-01,8.125034300657396624e-01,5.152794259278167983e-03
1.995000000000000284e+01,8.126061969015492270e-01,8.125012543972303103e-01,5.176438036793261366e-03
2.005000000000000071e+01,8.130505059970015713e-01,8.124986320659025596e-01,5.390558952611593929e-03
2.015000000000000213e+01,8.124968765617190947e-01,8.124954713761241010e-01,5.638193004028827296e-03
