tanh_profile function in utils/binning_planar.py -> tanh_profile(psi_cc, *popt)rho_l, rho_v, z01, z02, w1, w2, A, freq, phase, d
7.866850848134786522e-01
6.515811894349010473e-03
2.014945545940362592e+01
1.463298928231352214e+00
2.019828367821270287e+00
2.423931835767096088e-01
3.165799469217802642e-01
2.504460676400842445e+01
7.614623687739921820e+00
9.505558127939629287e+00
