psi,rho_mean,rho_fit,rho_std
1.000000000000000056e-01,0.000000000000000000e+00,9.222735410855748913e-11,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,2.412849654512024867e-09,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,1.089492666095387563e-07,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,3.681017967004096728e-06,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,8.036469970153020063e-05,0.000000000000000000e+00
1.100000000000000089e+00,0.000000000000000000e+00,1.385366990516678949e-03,0.000000000000000000e+00
1.300000000000000266e+00,2.617749999999999938e-02,3.661808471287159722e-02,1.053624695989990217e-03
1.500000000000000000e+00,5.710975000000000357e-01,5.676304269841748740e-01,7.710339520819804032e-03
1.700000000000000178e+00,9.838924999999999477e-01,9.995028369894439768e-01,1.012693483787303200e-02
1.899999999999999911e+00,7.902400000000000535e-01,8.336412557121735123e-01,6.737807702181687966e-03
2.100000000000000089e+00,6.051875000000002114e-01,6.137211745860164935e-01,6.283853054498192252e-03
2.300000000000000266e+00,5.975924999999999709e-01,6.546817102850284176e-01,7.742879156462338999e-03
2.500000000000000000e+00,8.216449999999999587e-01,8.594620924897016234e-01,8.105974080236976950e-03
2.700000000000000178e+00,9.430724999999998692e-01,9.317651432196987216e-01,1.066893516859012889e-02
2.900000000000000355e+00,8.089999999999999414e-01,8.040637031017378034e-01,6.318310900199424276e-03
3.100000000000000089e+00,7.028849999999999820e-01,6.819760961926660814e-01,6.525579224139899451e-03
3.300000000000000266e+00,7.355199999999999516e-01,7.198136368986222111e-01,8.882632374174723872e-03
3.500000000000000000e+00,8.434850000000000403e-01,8.321314909475950872e-01,9.047682169018703147e-03
3.700000000000000178e+00,8.646574999999998568e-01,8.593205186771631920e-01,8.633263013667420022e-03
3.900000000000000355e+00,7.849975000000000147e-01,7.895750950079033492e-01,8.621339421519878463e-03
4.099999999999999645e+00,7.440100000000000602e-01,7.358004899713502800e-01,9.010558134474069142e-03
4.300000000000000711e+00,7.774174999999999836e-01,7.597184291123438848e-01,9.887888324931455933e-03
4.500000000000000000e+00,8.291800000000000281e-01,8.090230432901880375e-01,8.636419214124885571e-03
4.700000000000001066e+00,8.170175000000000631e-01,8.159071565262826509e-01,1.019693291090383210e-02
4.900000000000000355e+00,7.802150000000002139e-01,7.855991347746663633e-01,1.058564196397522410e-02
5.099999999999999645e+00,7.666650000000000409e-01,7.668239269108215739e-01,9.959960631923888558e-03
5.300000000000000711e+00,7.897899999999999920e-01,7.780661452965107472e-01,1.061392580775990212e-02
5.500000000000000000e+00,8.115050000000000319e-01,7.953860289508380976e-01,8.047636135438839336e-03
5.700000000000001066e+00,7.958724999999999827e-01,7.961277738539086490e-01,1.020898050222140974e-02
5.900000000000000355e+00,7.815299999999999470e-01,7.856228907241300519e-01,8.316255483278391092e-03
6.099999999999999645e+00,7.799374999999999503e-01,7.804557725662336631e-01,6.561989328501566070e-03
6.300000000000000711e+00,7.939524999999998389e-01,7.845162995017040952e-01,1.013850755911913266e-02
6.500000000000000000e+00,8.010500000000000398e-01,7.893826796447024341e-01,9.380466827122020679e-03
6.700000000000001066e+00,7.863749999999999352e-01,7.891342658755912121e-01,9.876973487013005273e-03
6.900000000000000355e+00,7.843975000000000808e-01,7.862253068446808379e-01,8.130716207852273225e-03
7.099999999999999645e+00,7.854200000000000070e-01,7.851146271585091041e-01,8.112780690140444784e-03
7.300000000000000711e+00,7.899750000000000938e-01,7.862601420671260222e-01,8.821512282333932378e-03
7.500000000000000000e+00,7.942000000000000171e-01,7.873527762409592290e-01,9.007058635490170981e-03
7.700000000000001066e+00,7.876825000000000632e-01,7.871945332878369506e-01,6.392497144062105584e-03
7.900000000000000355e+00,7.845425000000000315e-01,7.865502588643661364e-01,8.696313117758900507e-03
8.100000000000001421e+00,7.867699999999999694e-01,7.863667843785570044e-01,7.003014388555529011e-03
8.300000000000000711e+00,7.888224999999999820e-01,7.866215394845005315e-01,1.117543682179335945e-02
8.500000000000000000e+00,7.884949999999999459e-01,7.868173003271179411e-01,8.313003447358212339e-03
