psi,rho_mean,rho_fit,rho_std
5.000000000000000278e-02,0.000000000000000000e+00,2.145018836331656476e-12,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,1.103015562047734620e-11,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,7.035769242217980349e-11,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,5.614620013593355338e-10,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,4.760241175720564948e-09,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,3.797787451571989160e-08,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,2.729928895370029099e-07,0.000000000000000000e+00
7.500000000000000000e-01,0.000000000000000000e+00,1.751837880172729164e-06,0.000000000000000000e+00
8.500000000000000888e-01,0.000000000000000000e+00,1.007406232508870410e-05,0.000000000000000000e+00
9.499999999999999556e-01,0.000000000000000000e+00,5.286946397639148492e-05,0.000000000000000000e+00
1.050000000000000044e+00,0.000000000000000000e+00,2.671418072620387733e-04,0.000000000000000000e+00
1.150000000000000133e+00,0.000000000000000000e+00,1.455756954758121629e-03,0.000000000000000000e+00
1.250000000000000000e+00,8.269302848575712595e-04,9.509016381860489753e-03,1.958814691267906543e-04
1.350000000000000089e+00,5.247220139930038052e-02,6.764761776931067783e-02,1.610902938454888229e-03
1.450000000000000178e+00,3.552052098950524428e-01,3.467224860034048284e-01,3.787616573143071357e-03
1.550000000000000044e+00,7.843523550724637028e-01,7.879704286084947551e-01,4.806085568433511937e-03
1.650000000000000133e+00,9.917697401299347959e-01,9.917866026737831575e-01,6.350751692514788535e-03
1.750000000000000000e+00,9.672374750124939080e-01,9.974422292660518607e-01,6.703200503791043041e-03
1.850000000000000089e+00,8.483828398300847784e-01,9.001326377038050275e-01,6.375125060401988682e-03
1.950000000000000178e+00,7.255629997501251705e-01,7.632008545608467420e-01,4.970450598308044123e-03
2.049999999999999822e+00,6.345467891054473730e-01,6.451194917407195861e-01,4.224920520033112123e-03
2.150000000000000355e+00,5.794540229885055682e-01,5.900431441239306629e-01,4.250759658629952448e-03
2.250000000000000000e+00,5.716985257371313134e-01,6.139400361577196374e-01,4.696305933811606610e-03
2.350000000000000533e+00,6.239083583208396844e-01,7.009818246900951788e-01,4.306843279097686238e-03
2.450000000000000178e+00,7.508378623188406431e-01,8.124164690293811386e-01,6.065022340700046075e-03
2.549999999999999822e+00,8.914042978510745563e-01,9.036193753956142105e-01,5.697009030263525467e-03
2.650000000000000355e+00,9.554902236381811464e-01,9.419119913581388559e-01,6.518945315475645555e-03
2.750000000000000000e+00,9.267545914542728580e-01,9.180589011212958450e-01,4.594611708889682379e-03
2.850000000000000533e+00,8.472318528235883717e-01,8.475157683294592958e-01,4.996209339966881623e-03
2.950000000000000178e+00,7.685188655672162694e-01,7.619418650033376039e-01,5.175886309320293539e-03
3.049999999999999822e+00,7.141031046976510366e-01,6.952959497703571357e-01,5.392390608455027191e-03
3.150000000000000355e+00,6.930003748125939111e-01,6.705322623379688096e-01,5.382486054561611000e-03
3.250000000000000000e+00,7.103370189905051646e-01,6.920361961054601885e-01,4.934109022342484524e-03
3.350000000000000533e+00,7.566521426786608773e-01,7.461108683338930625e-01,5.755739718037986875e-03
3.450000000000000178e+00,8.187570277361321258e-01,8.083934454964105676e-01,5.769835332977519757e-03
3.549999999999999822e+00,8.660927348825587790e-01,8.544863450770766589e-01,4.870123751064827158e-03
3.650000000000000355e+00,8.771614192903547380e-01,8.692734094530814026e-01,5.600596114763654529e-03
3.750000000000000000e+00,8.490418853073462557e-01,8.514679306286255800e-01,5.214054634864641845e-03
3.850000000000000533e+00,8.068223700649673757e-01,8.122461525336114319e-01,6.377970708961565836e-03
3.950000000000000178e+00,7.655273925537230406e-01,7.692825928505780952e-01,5.221135792079958926e-03
4.050000000000000711e+00,7.447026486756621599e-01,7.391225312029707784e-01,4.397811602650878587e-03
4.150000000000000355e+00,7.420102448775613979e-01,7.310715742735298672e-01,5.408371982069800840e-03
4.250000000000000000e+00,7.614130434782607759e-01,7.447429167250854132e-01,5.228926994656293153e-03
4.349999999999999645e+00,7.906976199400300720e-01,7.716710127568675581e-01,4.661796164827474755e-03
4.450000000000000178e+00,8.181315592203900477e-01,7.997601998974350757e-01,5.355997842009858033e-03
4.550000000000000711e+00,8.321144115442278277e-01,8.184229503463680278e-01,4.596507146300506975e-03
4.650000000000000355e+00,8.279329085457269866e-01,8.223265896188007851e-01,5.540052625730857924e-03
4.750000000000000000e+00,8.104354072963517730e-01,8.125343644433243862e-01,5.550856110147415340e-03
