tanh_profile function in utils/binning_planar.py -> tanh_profile(psi_cc, *popt)rho_l, rho_v, z01, z02, w1, w2, A, freq, phase, d
7.867238757524879222e-01
7.179877297442902213e-03
2.653795782573093121e+01
1.464870228840728927e+00
2.328420843075742930e+00
2.145841197743300899e-01
3.203585182904822859e-01
6.363736173788751671e+00
2.068528767745674202e+01
9.842025124562576721e+00
