psi,rho_mean,rho_fit,rho_std
1.000000000000000056e-01,0.000000000000000000e+00,1.127970904467018728e-08,0.000000000000000000e+00
3.000000000000000444e-01,0.000000000000000000e+00,8.390038045741109811e-08,0.000000000000000000e+00
5.000000000000000000e-01,0.000000000000000000e+00,4.072528965816152995e-07,0.000000000000000000e+00
7.000000000000000666e-01,0.000000000000000000e+00,4.147695072499957836e-06,0.000000000000000000e+00
9.000000000000000222e-01,0.000000000000000000e+00,1.393851077494100968e-04,0.000000000000000000e+00
1.100000000000000089e+00,2.500000000000000205e-06,3.309417319948132919e-03,1.118033988749895056e-05
1.300000000000000266e+00,3.548499999999998877e-02,5.162942477368887007e-02,1.049197688461847404e-03
1.500000000000000000e+00,3.849600000000000799e-01,3.767817187455212435e-01,7.914536924978118199e-03
1.700000000000000178e+00,5.933324999999999294e-01,6.119698432822561207e-01,8.441147262384596228e-03
1.899999999999999911e+00,5.418325000000000502e-01,5.245182275563484708e-01,6.597353436676043660e-03
2.100000000000000089e+00,4.786200000000001009e-01,4.782186877671497083e-01,5.529214277482456460e-03
2.300000000000000266e+00,4.808975000000000333e-01,5.095364876637418217e-01,5.488012654389283658e-03
2.500000000000000000e+00,5.673225000000000628e-01,5.673544239596479688e-01,8.585567372355950438e-03
2.700000000000000178e+00,6.239150000000001084e-01,6.058943736049391404e-01,7.832407373417053786e-03
2.900000000000000355e+00,6.076499999999999124e-01,6.127603058704635952e-01,7.073616658512028345e-03
3.100000000000000089e+00,5.806624999999999703e-01,6.007699830550881082e-01,5.186467081691898198e-03
3.300000000000000266e+00,5.760774999999999091e-01,5.871794716172256123e-01,5.332434888688770622e-03
3.500000000000000000e+00,5.985599999999999810e-01,5.806307617847866753e-01,7.009685029338075246e-03
3.700000000000000178e+00,6.140450000000000630e-01,5.806149584968628430e-01,7.717135751723322445e-03
3.900000000000000355e+00,6.051350000000000895e-01,5.830753734519716902e-01,6.041394488727000120e-03
4.099999999999999645e+00,5.939750000000001418e-01,5.850120907148484983e-01,6.604832760144166946e-03
4.300000000000000711e+00,5.926725000000000465e-01,5.856525601452254870e-01,4.037602043683587508e-03
4.500000000000000000e+00,5.956150000000001166e-01,5.854954431030613415e-01,5.818032313420063231e-03
4.700000000000001066e+00,6.009724999999999095e-01,5.851703843338910138e-01,6.423916558250769397e-03
4.900000000000000355e+00,5.966925000000000701e-01,5.849668399782227413e-01,5.225551469260882043e-03
5.099999999999999645e+00,5.929750000000000298e-01,5.848936588498646616e-01,5.801916652461099749e-03
5.300000000000000711e+00,5.902224999999999833e-01,5.848722988877879114e-01,5.812950039170711701e-03
5.500000000000000000e+00,5.872074999999999934e-01,5.848475590531222457e-01,6.375596463324664093e-03
5.700000000000001066e+00,5.877000000000001112e-01,5.848035227971624117e-01,3.866625075396408137e-03
5.900000000000000355e+00,5.880374999999998797e-01,5.847430824432540142e-01,5.740412487471246820e-03
