psi,rho,rho_fit
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,3.071875000000011229e-03,5.150370438177942816e-13
8.500000000000000888e-01,2.036812500000006743e-01,2.036812499999476611e-01
9.499999999999999556e-01,7.148312500000026937e-01,6.623889879662056002e-01
1.050000000000000044e+00,8.581875000000032117e-01,6.623889879688156235e-01
1.150000000000000133e+00,7.490375000000025763e-01,6.623889879688134030e-01
1.250000000000000000e+00,6.237875000000020487e-01,6.623889879688107385e-01
1.350000000000000089e+00,5.326812500000017714e-01,6.623889879688078519e-01
1.450000000000000178e+00,4.802437500000016901e-01,6.623889879688045212e-01
1.550000000000000044e+00,4.596375000000014199e-01,6.623889879688008575e-01
1.650000000000000133e+00,4.652250000000014984e-01,6.623889879687967497e-01
1.750000000000000000e+00,5.071000000000017716e-01,6.623889879687923088e-01
1.850000000000000089e+00,5.864500000000022473e-01,6.623889879687872018e-01
1.950000000000000178e+00,6.824312500000020432e-01,6.623889879687814286e-01
2.049999999999999822e+00,7.356656250000027653e-01,6.623889879687751003e-01
2.150000000000000355e+00,7.266500000000022386e-01,6.623889879687679949e-01
2.250000000000000000e+00,6.872812500000019531e-01,6.623889879687601123e-01
2.350000000000000533e+00,6.445687500000021330e-01,6.623889879687512305e-01
2.450000000000000178e+00,6.121625000000020522e-01,6.623889879687412385e-01
2.549999999999999822e+00,5.995906250000017090e-01,6.623889879687301363e-01
2.650000000000000355e+00,6.063437500000017355e-01,6.623889879687177018e-01
2.750000000000000000e+00,6.305687500000020096e-01,6.623889879687039350e-01
2.850000000000000533e+00,6.584875000000022238e-01,6.623889879686883919e-01
2.950000000000000178e+00,6.835531250000024261e-01,6.623889879686710724e-01
3.049999999999999822e+00,6.987875000000023373e-01,6.623889879686517546e-01
3.150000000000000355e+00,6.942687500000023215e-01,6.623889879686302162e-01
3.250000000000000000e+00,6.820687500000026660e-01,6.623889879686061244e-01
3.350000000000000533e+00,6.648875000000021851e-01,6.623889879685791460e-01
3.450000000000000178e+00,6.499687500000022045e-01,6.623889879685490589e-01
3.549999999999999822e+00,6.407750000000018709e-01,6.623889879685154192e-01
3.650000000000000355e+00,6.484531250000021840e-01,6.623889879684777826e-01
3.750000000000000000e+00,6.583062500000024242e-01,6.623889879684357052e-01
3.850000000000000533e+00,6.712500000000021227e-01,6.623889879683887427e-01
3.950000000000000178e+00,6.745562500000022998e-01,6.623889879683362292e-01
4.050000000000000711e+00,6.821906250000021599e-01,6.623889879682776094e-01
4.150000000000000355e+00,6.799406250000019636e-01,6.623889879682121062e-01
4.250000000000000000e+00,6.709875000000021794e-01,6.623889879681388315e-01
4.349999999999999645e+00,6.675125000000019515e-01,6.623889879680568971e-01
4.450000000000000178e+00,6.601312500000023897e-01,6.623889879679654147e-01
4.550000000000000711e+00,6.571187500000023052e-01,6.623889879678632742e-01
4.650000000000000355e+00,6.624625000000023967e-01,6.623889879677490322e-01
4.750000000000000000e+00,6.663718750000025004e-01,6.623889879676213566e-01
4.850000000000000533e+00,6.736500000000024135e-01,6.623889879674786929e-01
4.950000000000000178e+00,6.726093750000020632e-01,6.623889879673192649e-01
5.050000000000000711e+00,6.714218750000020552e-01,6.623889879671411851e-01
5.150000000000000355e+00,6.695156250000019460e-01,6.623889879669422331e-01
5.250000000000000000e+00,6.670031250000024725e-01,6.623889879667197444e-01
5.350000000000000533e+00,6.642718750000020655e-01,6.623889879664712765e-01
5.450000000000000178e+00,6.648156250000022416e-01,6.623889879661934987e-01
5.550000000000000711e+00,6.637406250000025265e-01,6.623889879658830804e-01
5.650000000000000355e+00,6.666156250000022654e-01,6.623889879655362467e-01
5.750000000000000000e+00,6.690093750000022377e-01,6.623889879651487789e-01
5.850000000000000533e+00,6.698437500000022915e-01,6.623889879647155698e-01
5.950000000000000178e+00,6.706281250000020178e-01,6.623889879642316236e-01
6.050000000000000711e+00,6.645437500000024311e-01,6.623889879636908340e-01
6.150000000000000355e+00,6.651062500000023414e-01,6.623889879630864286e-01
6.250000000000000000e+00,6.637750000000021133e-01,6.623889879624110799e-01
6.350000000000000533e+00,6.650468750000020357e-01,6.623889879616564613e-01
6.450000000000000178e+00,6.630187500000023215e-01,6.623889879608130249e-01
6.550000000000000711e+00,6.644375000000021236e-01,6.623889879598705566e-01
6.650000000000000355e+00,6.630843750000025016e-01,6.623889879588175100e-01
6.750000000000000000e+00,6.682593750000019872e-01,6.623889879576406736e-01
6.850000000000000533e+00,6.654062500000021974e-01,6.623889879563256144e-01
6.950000000000000178e+00,6.650437500000020430e-01,6.623889879548560122e-01
7.050000000000000711e+00,6.655968750000021972e-01,6.623889879532138814e-01
7.150000000000000355e+00,6.622500000000022258e-01,6.623889879513786827e-01
7.250000000000000000e+00,6.639218750000023261e-01,6.623889879493281008e-01
7.350000000000000533e+00,6.633968750000021064e-01,6.623889879470364894e-01
7.450000000000000178e+00,6.649500000000023725e-01,6.623889879444757600e-01
7.550000000000000711e+00,6.642093750000022112e-01,6.623889879416141602e-01
7.650000000000000355e+00,6.655593750000023956e-01,6.623889879384163848e-01
7.750000000000000000e+00,6.648312500000023162e-01,6.623889879348430210e-01
7.850000000000000533e+00,6.641812500000020547e-01,6.623889879308499928e-01
7.950000000000000178e+00,6.620500000000021368e-01,6.623889879263877845e-01
8.050000000000000711e+00,6.644531250000019762e-01,6.623889879214013288e-01
8.150000000000000355e+00,6.651531250000023432e-01,6.623889879158293414e-01
8.250000000000000000e+00,6.628718750000024418e-01,6.623889879096025446e-01
8.350000000000001421e+00,6.617156250000024720e-01,6.623889879026444438e-01
8.449999999999999289e+00,6.646687500000021398e-01,6.623889878948689969e-01
8.550000000000000711e+00,6.649000000000020449e-01,6.623889878861799474e-01
8.650000000000000355e+00,6.644968750000022073e-01,6.623889878764703809e-01
8.750000000000000000e+00,6.630468750000022560e-01,6.623889878656201713e-01
8.850000000000001421e+00,6.658968750000022752e-01,6.623889878534954256e-01
8.949999999999999289e+00,6.619656250000021114e-01,6.623889878399462638e-01
9.050000000000000711e+00,6.632500000000024487e-01,6.623889878248057084e-01
9.150000000000000355e+00,6.642500000000025606e-01,6.623889878078863536e-01
9.250000000000000000e+00,6.620500000000021368e-01,6.623889877889794775e-01
9.350000000000001421e+00,6.624250000000021510e-01,6.623889877678517113e-01
9.449999999999999289e+00,6.617093750000022645e-01,6.623889877442419305e-01
9.550000000000000711e+00,6.662687500000020746e-01,6.623889877178588126e-01
9.650000000000002132e+00,6.646156250000023746e-01,6.623889876883763961e-01
9.750000000000000000e+00,6.650812500000020666e-01,6.623889876554306388e-01
9.850000000000001421e+00,6.614250000000023721e-01,6.623889876186147552e-01
9.949999999999999289e+00,6.648187500000021233e-01,6.623889875774741087e-01
1.005000000000000071e+01,6.628656250000024563e-01,6.623889875315005504e-01
1.015000000000000213e+01,6.642968750000025624e-01,6.623889874801265343e-01
1.025000000000000000e+01,6.644250000000022638e-01,6.623889874227175678e-01
1.035000000000000142e+01,6.648375000000023016e-01,6.623889873585646626e-01
1.044999999999999929e+01,6.633812500000020318e-01,6.623889872868757855e-01
1.055000000000000071e+01,6.633468750000023340e-01,6.623889872067654228e-01
1.065000000000000213e+01,6.637968750000022844e-01,6.623889871172445876e-01
1.075000000000000000e+01,6.688656250000023507e-01,6.623889870172074978e-01
1.085000000000000142e+01,6.648406250000020723e-01,6.623889869054191415e-01
1.094999999999999929e+01,6.633000000000022212e-01,6.623889867804988452e-01
1.105000000000000071e+01,6.649281250000023125e-01,6.623889866409041760e-01
1.115000000000000213e+01,6.660843750000023933e-01,6.623889864849111797e-01
1.125000000000000000e+01,6.643687500000023949e-01,6.623889863105936193e-01
1.135000000000000142e+01,6.644093750000020782e-01,6.623889861157987724e-01
1.144999999999999929e+01,6.624406250000021146e-01,6.623889858981212297e-01
1.155000000000000071e+01,6.648375000000021906e-01,6.623889856548730304e-01
1.165000000000000213e+01,6.634718750000021537e-01,6.623889853830502439e-01
1.175000000000000000e+01,6.663406250000021291e-01,6.623889850792962219e-01
1.185000000000000142e+01,6.662406250000023622e-01,6.623889847398600761e-01
1.194999999999999929e+01,6.660687500000023187e-01,6.623889843605501593e-01
1.205000000000000071e+01,6.643468750000021128e-01,6.623889839366823296e-01
1.215000000000000213e+01,6.647375000000022016e-01,6.623889834630225515e-01
1.225000000000000000e+01,6.659937500000019384e-01,6.623889829337215041e-01
1.235000000000000142e+01,6.662843750000024823e-01,6.623889823422433043e-01
1.244999999999999929e+01,6.645375000000021126e-01,6.623889816812835729e-01
1.255000000000000071e+01,6.631937500000022467e-01,6.623889809426806163e-01
1.265000000000000213e+01,6.628812500000021979e-01,6.623889801173133973e-01
1.275000000000000000e+01,6.651250000000021867e-01,6.623889791949897354e-01
1.285000000000000142e+01,6.642343750000019309e-01,6.623889781643200747e-01
1.294999999999999929e+01,6.633656250000021792e-01,6.623889770125769294e-01
1.305000000000000071e+01,6.646250000000023528e-01,6.623889757255376765e-01
1.315000000000000213e+01,6.654687500000022737e-01,6.623889742873092512e-01
1.325000000000000000e+01,6.661156250000022094e-01,6.623889726801309719e-01
1.335000000000000142e+01,6.650843750000022814e-01,6.623889708841563806e-01
1.344999999999999929e+01,6.631031250000022359e-01,6.623889688772075512e-01
1.355000000000000071e+01,6.617375000000020879e-01,6.623889666345009752e-01
1.365000000000000213e+01,6.662406250000020291e-01,6.623889641283422502e-01
1.375000000000000000e+01,6.648718750000023325e-01,6.623889613277831323e-01
1.385000000000000142e+01,6.650000000000023670e-01,6.623889581982407293e-01
1.394999999999999929e+01,6.639156250000020076e-01,6.623889547010687329e-01
1.405000000000000071e+01,6.648375000000023016e-01,6.623889507930815768e-01
1.415000000000000213e+01,6.657625000000021442e-01,6.623889464260206417e-01
1.425000000000000000e+01,6.664437500000017778e-01,6.623889415459580654e-01
1.435000000000000142e+01,6.622968750000021165e-01,6.623889360926313863e-01
1.444999999999999929e+01,6.663968750000021091e-01,6.623889299986986945e-01
1.455000000000000071e+01,6.640718750000025317e-01,6.623889231889077411e-01
1.465000000000000213e+01,6.665968750000024201e-01,6.623889155791662375e-01
1.475000000000000000e+01,6.652593750000022066e-01,6.623889070755033526e-01
1.485000000000000142e+01,6.688312500000022087e-01,6.623888975729095296e-01
1.494999999999999929e+01,6.650937500000020375e-01,6.623888869540399682e-01
1.505000000000000071e+01,6.665718750000020343e-01,6.623888750877648945e-01
1.515000000000000213e+01,6.644312500000023602e-01,6.623888618275509677e-01
