tanh_profile function in utils/binning_planar.py -> tanh_profile(psi_cc, *popt)rho_l, rho_v, z01, z02, w1, w2, A, freq, phase, d
6.623889879688356075e-01
4.324794008234519177e-02
2.902120202747585154e+01
8.529990187683256231e-01
3.601403370378251978e+00
1.477609368273363581e-02
3.171434592344054004e-01
1.450313451953468302e+01
4.700255140831030021e-01
1.386844044484449728e-02
