LAMMPS data file via write_data, version 22 Jul 2025, timestep = 2050000, units = lj

8000 atoms
1 atom types

-10 10 xlo xhi
-10 10 ylo yhi
0 60 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 1

Atoms # atomic

2054 1 -9.219393908116247 -9.552965239708202 0.849185682917522 -1 0 0
1304 1 -8.657679400237 -8.64666291464753 1.0237353702766343 2 -1 0
7794 1 -7.719881936445062 -8.976868713768917 1.0221787941002787 0 -3 0
3784 1 -6.444115037770608 -9.552430896132629 1.0795853571380583 -1 0 0
1773 1 -5.335766025231854 -9.87101761057398 1.4006613554734588 -3 3 0
7355 1 -4.763399446967191 -9.110904993684517 0.8665183745610068 -2 -2 0
4681 1 -3.822640642395773 -9.81651515691166 0.9981136748973471 3 -2 0
7163 1 -2.686826371712841 -9.816946281665658 1.1256158944841579 -2 0 0
4560 1 -1.5667112625484334 -9.863858627760948 1.050030568006046 -2 3 0
5253 1 -0.6956907554079471 -9.28567946356695 1.280396195946615 0 2 0
4025 1 0.6557952552667072 -9.758123605577257 1.0272499056910391 0 3 0
7789 1 1.763701214059675 -9.804922861298598 1.2400144215352502 -3 1 0
5799 1 5.607307153905631 -8.890253284275476 1.2751646696654593 -1 -2 0
5798 1 4.740185388593343 -9.16443690155892 1.056616355587451 1 4 0
3745 1 7.473559601344952 -9.264236095297855 1.323870009152579 0 1 0
3494 1 9.357240266745315 -9.266180247750318 1.0408665643928483 4 0 0
7035 1 -9.415643309505713 -7.454821703012227 1.2081142575579253 0 -1 0
7472 1 -9.805616372318404 -8.488253619170957 1.1532610740694034 5 1 0
4389 1 -5.7486192115078705 -7.7325945339513 1.01498031446524 1 -1 0
7118 1 -2.5058708406982384 -8.395806010195388 1.0868708091642936 2 -1 0
4933 1 -1.438899024382789 -8.076369158065543 0.9472541803700871 -3 3 0
2528 1 -2.161570438547066 -7.237137017887827 1.0673215104921003 6 -3 0
3802 1 -0.16134031222825196 -8.289739637240292 1.3955682919542236 -1 2 0
3240 1 0.8981771407015312 -8.147077962215734 1.3405402766381436 3 4 0
4886 1 1.7800602175136258 -7.693216537508504 0.9150563938532624 -1 0 0
5510 1 4.525924750924111 -7.7820081489763755 1.225621548401942 2 0 0
741 1 6.63464482591892 -8.485074388973727 1.1326365373225034 -3 0 0
3656 1 7.817222514372039 -8.068983200797197 1.033514744692185 4 0 0
7299 1 9.188168973154148 -7.9088611908532895 1.449586363169475 -2 0 0
1196 1 -8.868588093457033 -6.492585769981335 1.4820356726154866 1 1 0
1973 1 -7.790556955641332 -6.817865147998072 1.2926881870716964 -1 1 0
5470 1 -3.244245244795359 -7.11688458753846 0.9768399350245344 0 -1 0
627 1 -3.549736799282845 -5.901165409969389 1.3773200247593473 2 -2 0
7070 1 -2.3809525268186746 -5.7893310848024315 1.2593039594803002 -3 1 0
5107 1 -1.4700814666673279 -6.373367404799451 1.4143835102573776 -1 -3 0
1867 1 0.42016791135431397 -6.3802193967920395 1.432562324210969 4 3 0
860 1 1.486172637997254 -6.705183872246459 1.1791518137477297 2 -2 0
3073 1 2.3278125756839674 -6.002207222430011 1.1695483900394243 1 -1 0
5895 1 5.752732389719516 -6.548991012184217 1.1204987975402942 0 -4 0
3661 1 6.833878270895956 -6.795681014579746 1.1884804008530525 -1 1 0
4319 1 9.074740828700476 -6.995258838831819 0.9689939141354615 -4 2 0
2223 1 -8.223017151071645 -5.620331265537026 1.071431020394367 -1 2 0
1374 1 -8.031861595437997 -4.555250052772292 1.0617984030340202 -2 0 0
4198 1 -6.218830198424671 -4.936755285185961 1.0376568333172367 -1 2 0
3864 1 -4.861453390582141 -4.955485042745101 1.0306302419877795 0 2 0
1318 1 -0.2191303850125753 -5.4800799026798686 1.2020791715153831 0 -2 0
7695 1 1.193616293131244 -5.6582017264017415 1.0096284572633154 -3 4 0
687 1 2.097751590982266 -4.7392284956215995 1.2676138600788018 2 -4 0
6105 1 3.3976199429983525 -5.139650401258615 1.271294706127046 1 -1 0
2671 1 4.365494124110033 -5.2665940558336635 1.1208732361470413 3 1 0
4236 1 5.942580506281522 -5.421924436413447 1.4449454105981259 2 2 0
3064 1 6.70570137393627 -4.931208225134808 0.9628084919466255 -1 0 0
2868 1 9.93049259350569 -5.615757944475651 0.9973196405132747 1 0 0
7107 1 -5.617226973100564 -3.968753107355 1.3023507166276156 1 -2 0
2218 1 -3.38930862046023 -3.519348755105999 1.2042814447986492 1 3 0
6285 1 -2.3454176142757794 -4.045177854000204 1.0175548669252623 1 -1 0
758 1 0.8794499132350299 -3.9851281581403555 1.0965644137695876 -1 1 0
3283 1 1.5542226353863027 -3.2101490327255173 1.2615559492252135 1 -2 0
5694 1 4.936566045450791 -3.466945432503945 1.065128412514807 2 5 0
770 1 6.138149060548476 -3.9562402780978028 1.2251381301472233 1 0 0
6643 1 9.598868960613315 -3.164017452619083 1.1525547718602869 0 -1 0
2177 1 -9.105674675096074 -2.4525562428663807 1.1056665148780336 -2 1 0
1809 1 -7.88755503763083 -2.3691380142736445 1.4806927155854905 1 0 0
3692 1 -6.3979452138870565 -2.569544442309596 1.3194246691343015 -2 -2 0
3567 1 -5.712421467675326 -1.8222526088397653 1.2824976282445963 0 1 0
6507 1 -4.376006078887271 -2.305988879390911 1.251923516680838 5 -2 0
5633 1 -2.543397787255748 -2.841772809100344 1.484428866195954 2 0 0
3313 1 -2.3593860844999606 -1.8522265689654178 0.9743551203185737 2 2 0
3922 1 -0.3403968532430697 -2.3225876343466663 0.9830958689273256 1 0 0
3925 1 -1.2061170575187008 -1.4665469448889745 1.0580219615167599 3 -2 0
2605 1 1.014446109686477 -2.420576661157374 1.4270748350147808 -2 -3 0
173 1 1.9223032412316443 -1.770207004810459 1.3123059724197306 0 -3 0
85 1 3.5907065713762623 -2.776624714732266 1.1149660781805206 3 1 0
3736 1 4.417686125907232 -2.255109468070034 0.9801658296021176 0 0 0
5892 1 7.59226582136376 -2.4538983265866654 1.3512713085645334 0 1 0
3764 1 8.71781369157825 -1.895611609006306 0.9714234291049318 -3 -1 0
5701 1 -9.881074283439021 -0.2779248462783795 1.3344471677109195 3 0 0
2075 1 -7.792636978229507 -0.6442281166256626 1.1072570326267202 3 0 0
1777 1 -4.046131081853007 -0.3382558190600688 1.1007310818125677 2 2 0
1714 1 -2.2053023035669104 -0.03748883942695181 1.341892535515554 0 0 0
2142 1 -1.0848111744950348 -0.37643671118077104 1.3014132200944615 -3 1 0
4932 1 2.9976639086176644 -0.961224264787094 1.2610404419326382 1 -1 0
58 1 4.028513261318204 -1.271277796668975 1.2270018535302032 0 1 0
2288 1 5.131679022311302 -0.98557884340312 1.1866382584306852 -5 5 0
2309 1 6.735364997416344 -1.3345935535839295 1.1952062153344571 1 3 0
5902 1 6.998348545126585 -0.12385112712200044 1.2364532231325434 1 2 0
2848 1 7.799621717038129 -1.0398763464077714 1.20812652960994 0 0 0
3865 1 8.970388245577706 -0.9056588595101347 0.9900755720634468 -1 -2 0
4190 1 -9.235126114695227 -8.945056570741347 1.9516205134005 2 5 0
5021 1 -9.632030042922922 -9.495957661933977 2.967019065404515 -2 -3 0
6484 1 -8.465156626390474 -9.52997573190746 1.7225028664030229 5 -1 0
1688 1 -7.182854849367803 -8.75285801793306 1.892034131146249 0 1 0
3614 1 -8.19102787150751 -8.59843993265421 2.0855115258994643 -3 3 0
1791 1 -7.543801140531835 -9.122489890698438 2.9246074229984074 2 0 0
3289 1 -8.236496391789538 -9.86989819439124 2.736022006692075 1 1 0
886 1 -6.144596914569318 -9.36246858290343 2.16434567887948 1 0 0
498 1 -5.3473257507855685 -8.948715709295797 2.625759222798959 0 1 0
1509 1 -4.247901222989074 -9.138939238857809 1.960138580835347 3 -4 0
638 1 -3.1196859642596713 -8.898662059396543 1.927737761627409 1 1 0
4261 1 -3.729586940007088 -9.189306923943956 2.8839117640182583 0 1 0
5153 1 -2.127079551282437 -9.316624963263457 1.992654008289652 0 -2 0
6319 1 -2.7030542095381414 -8.776964184662944 2.9575061207869484 3 -2 0
477 1 -1.169874736581157 -9.823906936726953 2.193872423766932 -2 -1 0
944 1 0.9892975506440411 -9.83504872143169 2.7659964891526885 -3 -1 0
1286 1 0.5335119531595055 -8.760409023028862 2.3367044166400137 2 3 0
1019 1 1.4882607941935246 -8.914361108969167 2.588150888218683 -4 -1 0
476 1 3.8753335820917623 -8.827589070953593 1.7675986766443186 -1 -2 0
1258 1 3.1356525619107236 -9.519711207409305 2.9742907788739124 -2 -1 0
