psi,rho_mean,rho_fit
0.05,0.0,0.0
0.15000000000000002,0.0,0.0
0.25,0.0,0.0
0.35000000000000003,0.0,0.0
0.45,3.379990781494212e-39,3.379990781494212e-39
0.55,1.0325813762022053e-38,1.0325813762022053e-38
0.6500000000000001,0.007418448356714978,0.007418448356714978
0.75,0.022875703120880775,0.022875703120880775
0.85,0.10431252892998193,0.10431252892998193
0.95,0.2591895133226668,0.2591895133226668
1.05,0.3449664445806547,0.3449664445806547
1.15,0.3517365050502302,0.3517365050502302
1.25,0.3562926718113555,0.3562926718113555
1.35,0.35824851978037353,0.35824851978037353
1.45,0.36279669808798504,0.36279669808798504
1.55,0.37047289123220184,0.37047289123220184
1.65,0.3799438216776125,0.3799438216776125
1.75,0.3916396886274993,0.3916396886274993
1.85,0.4040043485096747,0.4040043485096747
1.95,0.41722089292537345,0.41722089292537345
2.05,0.429216008757823,0.429216008757823
2.1500000000000004,0.439612420768954,0.439612420768954
2.25,0.4488864438963497,0.4488864438963497
2.3500000000000005,0.45665074393699573,0.45665074393699573
2.45,0.46380364532613366,0.46380364532613366
2.55,0.4701113063484458,0.4701113063484458
2.6500000000000004,0.47603620314500833,0.47603620314500833
2.75,0.4814171718312952,0.4814171718312952
2.8500000000000005,0.4864767514584172,0.4864767514584172
2.95,0.4910668120896399,0.4910668120896399
3.05,0.4953465404229369,0.4953465404229369
3.1500000000000004,0.4991601210785965,0.4991601210785965
3.25,0.5026942178915235,0.5026942178915235
3.3500000000000005,0.5057966013643997,0.5057966013643997
3.45,0.5086893335064128,0.5086893335064128
3.55,0.5112489832309937,0.5112489832309937
3.65,0.5136497315721829,0.5136497315721829
3.75,0.5157907776524103,0.5157907776524103
3.850000000000001,0.5177964697695272,0.5177964697695272
3.95,0.5195745487199782,0.5195745487199782
4.050000000000001,0.5212380254930471,0.5212380254930471
4.15,0.5227031724705549,0.5227031724705549
4.25,0.5240733676238183,0.5240733676238183
4.35,0.5252744160390093,0.5252744160390093
4.45,0.5263985573010548,0.5263985573010548
4.550000000000001,0.5273816413675205,0.5273816413675205
4.65,0.5283028226035165,0.5283028226035165
4.75,0.529107076270847,0.529107076270847
4.8500000000000005,0.5298611219456031,0.5298611219456031
4.95,0.53051747226535,0.53051747226535
5.050000000000001,0.5311329248993566,0.5311329248993566
5.15,0.5316663766458738,0.5316663766458738
5.25,0.5321665812915347,0.5321665812915347
5.3500000000000005,0.5325980752620929,0.5325980752620929
5.45,0.5330026566604695,0.5330026566604695
5.550000000000001,0.5333498903265009,0.5333498903265009
5.65,0.5336754092819844,0.5336754092819844
5.75,0.5339532023228413,0.5339532023228413
5.8500000000000005,0.5342134998138568,0.5342134998138568
5.95,0.5344341216044123,0.5344341216044123
6.050000000000001,0.5346406652491043,0.5346406652491043
6.15,0.5348142550216353,0.5348142550216353
6.25,0.5349765426663726,0.5349765426663726
6.3500000000000005,0.5351115114536432,0.5351115114536432
6.45,0.5352374324657535,0.5352374324657535
6.550000000000001,0.5353407604954457,0.5353407604954457
6.65,0.5354368656925876,0.5354368656925876
6.75,0.5355143299266808,0.5355143299266808
6.8500000000000005,0.5355860439667294,0.5355860439667294
6.95,0.5356424123969042,0.5356424123969042
7.050000000000001,0.5356942157568519,0.5356942157568519
7.15,0.5357334149291912,0.5357334149291912
7.25,0.5357690004679276,0.5357690004679276
7.35,0.5357942580086892,0.5357942580086892
7.45,0.5358166563765898,0.5358166563765898
7.55,0.5358305908354256,0.5358305908354256
7.65,0.5358422627052725,0.5358422627052725
7.75,0.5358469928905344,0.5358469928905344
7.85,0.5358499429326513,0.5358499429326513
7.95,0.5358472288829436,0.5358472288829436
8.05,0.5358431166411624,0.5358431166411624
