tanh_profile function in utils/binning_planar.py -> tanh_profile(psi_cc, *popt)rho_l, rho_v, z01, z02, w1, w2, A, freq, phase, d
8.640749440173594031e-01
-4.100598258414521339e-04
2.398895054873251809e+01
8.506638953765764954e-01
1.429298974390410315e+00
2.488970079430607996e-03
4.468982092323754984e-01
1.477114222300330582e+01
3.597048663677095415e-01
1.884946503879400526e-04
