psi,rho,rho_fit
5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000333e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000111e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000001332e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,4.062500000000008487e-04,0.000000000000000000e+00
8.500000000000000888e-01,2.211906250000006957e-01,2.211906259957793219e-01
9.499999999999999556e-01,1.380190625000004445e+00,8.640749440173594031e-01
1.050000000000000044e+00,1.741143750000005319e+00,8.640749440173594031e-01
1.150000000000000133e+00,1.293868750000004564e+00,8.640749440173594031e-01
1.250000000000000000e+00,8.739625000000029731e-01,8.640749440173594031e-01
1.350000000000000089e+00,6.248406250000022588e-01,8.640749440173594031e-01
1.450000000000000178e+00,4.958531250000016155e-01,8.640749440173594031e-01
1.550000000000000044e+00,4.430687500000013990e-01,8.640749440173594031e-01
1.650000000000000133e+00,4.636218750000016819e-01,8.640749440173594031e-01
1.750000000000000000e+00,6.074531250000019256e-01,8.640749440173594031e-01
1.850000000000000089e+00,9.549281250000035692e-01,8.640749440173594031e-01
1.950000000000000178e+00,1.314018750000004676e+00,8.640749440173594031e-01
2.049999999999999822e+00,1.320940625000005086e+00,8.640749440173594031e-01
2.150000000000000355e+00,1.069978125000003999e+00,8.640749440173594031e-01
2.250000000000000000e+00,8.055531250000026455e-01,8.640749440173594031e-01
2.350000000000000533e+00,6.471906250000023508e-01,8.640749440173594031e-01
2.450000000000000178e+00,5.865593750000022144e-01,8.640749440173594031e-01
2.549999999999999822e+00,6.090968750000019805e-01,8.640749440173594031e-01
2.650000000000000355e+00,7.127968750000022169e-01,8.640749440173594031e-01
2.750000000000000000e+00,8.865812500000029850e-01,8.640749440173594031e-01
2.850000000000000533e+00,1.075990625000003531e+00,8.640749440173594031e-01
2.950000000000000178e+00,1.141140625000004238e+00,8.640749440173594031e-01
3.049999999999999822e+00,1.057621875000003708e+00,8.640749440173594031e-01
3.150000000000000355e+00,8.952531250000029805e-01,8.640749440173594031e-01
3.250000000000000000e+00,7.586781250000026455e-01,8.640749440173594031e-01
3.350000000000000533e+00,6.890625000000022427e-01,8.640749440173594031e-01
3.450000000000000178e+00,6.787156250000018209e-01,8.640749440173594031e-01
3.549999999999999822e+00,7.422500000000021858e-01,8.640749440173594031e-01
3.650000000000000355e+00,8.531843750000027704e-01,8.640749440173594031e-01
3.750000000000000000e+00,9.692437500000034012e-01,8.640749440173594031e-01
3.850000000000000533e+00,1.028740625000003295e+00,8.640749440173594031e-01
3.950000000000000178e+00,9.996031250000032564e-01,8.640749440173594031e-01
4.050000000000000711e+00,9.177531250000029450e-01,8.640749440173594031e-01
4.150000000000000355e+00,8.249156250000028168e-01,8.640749440173594031e-01
4.250000000000000000e+00,7.622156250000026168e-01,8.640749440173594031e-01
4.349999999999999645e+00,7.408125000000027605e-01,8.640749440173594031e-01
4.450000000000000178e+00,7.688031250000024741e-01,8.640749440173594031e-01
4.550000000000000711e+00,8.337968750000028795e-01,8.640749440173594031e-01
4.650000000000000355e+00,9.107031250000031664e-01,8.640749440173594031e-01
4.750000000000000000e+00,9.543562500000032367e-01,8.640749440173594031e-01
4.850000000000000533e+00,9.544562500000028926e-01,8.640749440173594031e-01
4.950000000000000178e+00,9.146906250000027550e-01,8.640749440173594031e-01
5.050000000000000711e+00,8.573343750000032015e-01,8.640749440173594031e-01
5.150000000000000355e+00,8.121375000000030653e-01,8.640749440173594031e-01
5.250000000000000000e+00,7.899468750000022688e-01,8.640749440173594031e-01
5.350000000000000533e+00,7.985437500000025501e-01,8.640749440173594031e-01
5.450000000000000178e+00,8.244250000000026279e-01,8.640749440173594031e-01
5.550000000000000711e+00,8.715843750000026313e-01,8.640749440173594031e-01
5.650000000000000355e+00,9.125187500000032648e-01,8.640749440173594031e-01
5.750000000000000000e+00,9.199906250000031704e-01,8.640749440173594031e-01
5.850000000000000533e+00,9.057156250000026887e-01,8.640749440173594031e-01
5.950000000000000178e+00,8.753343750000028844e-01,8.640749440173594031e-01
6.050000000000000711e+00,8.390906250000028654e-01,8.640749440173594031e-01
6.150000000000000355e+00,8.156156250000027308e-01,8.640749440173594031e-01
6.250000000000000000e+00,8.178312500000025631e-01,8.640749440173594031e-01
6.350000000000000533e+00,8.349250000000030258e-01,8.640749440173594031e-01
6.450000000000000178e+00,8.598468750000028971e-01,8.640749440173594031e-01
6.550000000000000711e+00,8.840250000000030584e-01,8.640749440173594031e-01
6.650000000000000355e+00,8.945031250000031742e-01,8.640749440173594031e-01
6.750000000000000000e+00,8.923312500000029068e-01,8.640749440173594031e-01
6.850000000000000533e+00,8.749406250000025809e-01,8.640749440173594031e-01
6.950000000000000178e+00,8.551875000000027649e-01,8.640749440173594031e-01
7.050000000000000711e+00,8.420468750000027480e-01,8.640749440173594031e-01
7.150000000000000355e+00,8.340343750000032141e-01,8.640749440173594031e-01
7.250000000000000000e+00,8.396250000000031743e-01,8.640749440173594031e-01
7.350000000000000533e+00,8.520875000000027732e-01,8.640749440173594031e-01
7.450000000000000178e+00,8.692437500000030903e-01,8.640749440173594031e-01
7.550000000000000711e+00,8.826093750000028049e-01,8.640749440173594031e-01
7.650000000000000355e+00,8.818843750000026072e-01,8.640749440173594031e-01
7.750000000000000000e+00,8.742375000000029983e-01,8.640749440173594031e-01
7.850000000000000533e+00,8.596531250000025715e-01,8.640749440173594031e-01
7.950000000000000178e+00,8.493281250000026539e-01,8.640749440173594031e-01
8.050000000000000711e+00,8.441500000000027315e-01,8.640749440173594031e-01
8.150000000000000355e+00,8.454781250000027448e-01,8.640749440173594031e-01
8.250000000000000000e+00,8.527000000000026780e-01,8.640749440173594031e-01
8.350000000000001421e+00,8.624875000000031822e-01,8.640749440173594031e-01
8.449999999999999289e+00,8.728625000000030942e-01,8.640749440173594031e-01
8.550000000000000711e+00,8.746468750000030434e-01,8.640749440173594031e-01
8.650000000000000355e+00,8.701906250000027709e-01,8.640749440173594031e-01
8.750000000000000000e+00,8.624718750000031076e-01,8.640749440173594031e-01
8.850000000000001421e+00,8.598718750000027278e-01,8.640749440173594031e-01
8.949999999999999289e+00,8.517343750000024860e-01,8.640749440173594031e-01
9.050000000000000711e+00,8.474625000000024500e-01,8.640749440173594031e-01
9.150000000000000355e+00,8.534531250000030322e-01,8.640749440173594031e-01
9.250000000000000000e+00,8.591781250000025683e-01,8.640749440173594031e-01
9.350000000000001421e+00,8.671125000000029504e-01,8.640749440173594031e-01
9.449999999999999289e+00,8.706125000000024539e-01,8.640749440173594031e-01
9.550000000000000711e+00,8.673125000000027063e-01,8.640749440173594031e-01
9.650000000000002132e+00,8.632250000000025736e-01,8.640749440173594031e-01
9.750000000000000000e+00,8.586656250000026525e-01,8.640749440173594031e-01
9.850000000000001421e+00,8.554437500000026118e-01,8.640749440173594031e-01
9.949999999999999289e+00,8.549375000000029035e-01,8.640749440173594031e-01
1.005000000000000071e+01,8.524031250000031479e-01,8.640749440173594031e-01
1.015000000000000213e+01,8.580281250000030280e-01,8.640749440173594031e-01
1.025000000000000000e+01,8.640250000000030406e-01,8.640749440173594031e-01
1.035000000000000142e+01,8.673062500000026098e-01,8.640749440173594031e-01
1.044999999999999929e+01,8.647375000000023793e-01,8.640749440173594031e-01
1.055000000000000071e+01,8.663000000000025125e-01,8.640749440173594031e-01
1.065000000000000213e+01,8.597750000000027315e-01,8.640749440173594031e-01
1.075000000000000000e+01,8.566500000000033532e-01,8.640749440173594031e-01
1.085000000000000142e+01,8.556218750000028628e-01,8.640749440173592921e-01
1.094999999999999929e+01,8.555812500000028464e-01,8.640749440173592921e-01
1.105000000000000071e+01,8.554468750000026045e-01,8.640749440173591811e-01
1.115000000000000213e+01,8.624562500000031440e-01,8.640749440173591811e-01
1.125000000000000000e+01,8.621968750000027493e-01,8.640749440173591811e-01
1.135000000000000142e+01,8.629437500000031180e-01,8.640749440173589591e-01
1.144999999999999929e+01,8.624750000000033223e-01,8.640749440173589591e-01
1.155000000000000071e+01,8.662750000000026818e-01,8.640749440173587370e-01
1.165000000000000213e+01,8.604968750000029365e-01,8.640749440173585150e-01
1.175000000000000000e+01,8.604531250000028164e-01,8.640749440173582929e-01
1.185000000000000142e+01,8.572531250000026137e-01,8.640749440173578488e-01
1.194999999999999929e+01,8.548437500000024558e-01,8.640749440173574047e-01
1.205000000000000071e+01,8.569562500000027505e-01,8.640749440173567386e-01
1.215000000000000213e+01,8.608656250000028543e-01,8.640749440173558504e-01
1.225000000000000000e+01,8.650125000000028486e-01,8.640749440173547402e-01
1.235000000000000142e+01,8.625968750000025942e-01,8.640749440173531859e-01
1.244999999999999929e+01,8.592937500000025208e-01,8.640749440173511875e-01
1.255000000000000071e+01,8.620281250000029205e-01,8.640749440173486340e-01
1.265000000000000213e+01,8.638000000000028988e-01,8.640749440173451923e-01
1.275000000000000000e+01,8.611031250000028558e-01,8.640749440173405294e-01
1.285000000000000142e+01,8.568312500000025977e-01,8.640749440173343121e-01
1.294999999999999929e+01,8.610875000000026702e-01,8.640749440173263185e-01
1.305000000000000071e+01,8.571625000000030470e-01,8.640749440173156604e-01
1.315000000000000213e+01,8.569375000000029052e-01,8.640749440173014495e-01
1.325000000000000000e+01,8.600312500000031335e-01,8.640749440172827978e-01
1.335000000000000142e+01,8.643125000000025926e-01,8.640749440172580398e-01
1.344999999999999929e+01,8.608656250000032983e-01,8.640749440172252882e-01
1.355000000000000071e+01,8.634281250000028773e-01,8.640749440171819895e-01
1.365000000000000213e+01,8.602531250000027274e-01,8.640749440171248130e-01
1.375000000000000000e+01,8.577781250000028335e-01,8.640749440170489848e-01
1.385000000000000142e+01,8.604968750000026034e-01,8.640749440169488427e-01
1.394999999999999929e+01,8.586468750000032513e-01,8.640749440168162820e-01
1.405000000000000071e+01,8.611281250000033527e-01,8.640749440166408668e-01
1.415000000000000213e+01,8.603312500000024343e-01,8.640749440164087192e-01
1.425000000000000000e+01,8.602562500000034973e-01,8.640749440161017425e-01
1.435000000000000142e+01,8.623812500000030967e-01,8.640749440156956229e-01
1.444999999999999929e+01,8.598218750000029553e-01,8.640749440151582750e-01
1.455000000000000071e+01,8.609000000000029962e-01,8.640749440144473992e-01
1.465000000000000213e+01,8.601281250000029077e-01,8.640749440135069293e-01
1.475000000000000000e+01,8.567281250000029491e-01,8.640749440122628133e-01
1.485000000000000142e+01,8.606718750000028617e-01,8.640749440106170187e-01
1.494999999999999929e+01,8.594875000000028464e-01,8.640749440084396493e-01
1.505000000000000071e+01,8.609843750000034657e-01,8.640749440055590647e-01
1.515000000000000213e+01,8.621843750000032225e-01,8.640749440017482241e-01
