tanh_profile function in utils/binning_planar.py -> tanh_profile(psi_cc, *popt)rho_l, rho_v, z01, z02, w1, w2, A, freq, phase, d
6.973844651591355470e-01
2.820480868485224224e-02
2.824610345941129097e+01
8.532437418626748205e-01
3.024812015293465439e+00
1.557920440176847020e-02
2.417161785089451953e-01
1.459212067578111771e+01
4.524510193076974329e-01
2.950882760959164242e-02
