LAMMPS data file via write_data, version 22 Jul 2025, timestep = 2050000, units = lj

7000 atoms
1 atom types

-10 10 xlo xhi
-10 10 ylo yhi
0 60 zlo zhi

Masses

1 1

Pair Coeffs # lj/cut

1 1 1

Atoms # atomic

216 1 4.4777051335700815 -6.191715043344095 1.365086161483654 4 1 0
1517 1 -9.533015902579644 -4.056593964571983 1.4101850378371603 -1 2 0
6676 1 2.010816192863075 4.616014758517058 1.3144668668953825 -1 -2 0
901 1 -8.765990051503763 -9.4715144705542 1.83995433543473 2 -3 0
6362 1 -9.175334039098425 -8.778140580579299 2.5411323817424085 2 1 0
1726 1 -9.797789108905997 -9.848252420752756 2.6325286729057895 0 -1 0
5592 1 -6.94821848520906 -9.304370982103535 2.853111450039262 -2 -2 0
6412 1 -6.326782362863389 -9.5753161667997 1.9704754833069238 2 -2 0
359 1 -5.219824702544439 -9.313802122691612 1.9519505776933246 1 0 0
4577 1 -4.124773331943057 -8.885733841367403 2.1881665187391097 1 0 0
2002 1 -3.1299361899294977 -9.249438829369465 1.801563380769183 1 0 0
2199 1 -2.1881459619429604 -9.726955886263 2.1199714866179695 -1 -1 0
2646 1 -1.4306951993800556 -8.96389825575476 2.7385329329836563 -1 3 0
5415 1 -2.52677966972125 -8.624112591174828 2.5431083714731852 4 5 0
3396 1 -0.77857386165739 -9.843105904321458 2.632892546796773 1 3 0
6458 1 -0.6888972590742438 -9.004991342419041 1.919545813030208 2 2 0
6100 1 0.32340205872950223 -9.203837536631104 2.5806267368255846 1 5 0
1372 1 1.4492532593735048 -9.24984299601337 2.4053447974990214 -1 -3 0
5835 1 2.1363379406887155 -9.975252571952936 2.711426957877712 0 2 0
1304 1 4.0699697822660195 -9.626284765279179 2.516800745518901 3 2 0
6056 1 4.523088848575991 -8.74271705003125 1.861989529980635 -5 -4 0
2605 1 6.505441513790753 -9.347370217357469 2.7157423831746947 0 0 0
2063 1 6.106968437453028 -9.496590289895412 1.6666731230463017 2 4 0
6630 1 7.277062523001361 -9.383228853757194 1.7482509989188384 -1 3 0
3974 1 7.813409344817387 -9.404096235934926 2.5646163636232395 -2 -1 0
6977 1 8.343048205125234 -9.040053993778594 1.5280926905120726 2 -2 0
214 1 9.465740044725976 -9.42464028382304 2.005884216078289 -2 1 0
2034 1 -9.312340987483557 -7.5231214553304 1.684815815161998 1 2 0
909 1 -9.861580634591798 -8.564670565660094 1.716079949080395 -1 0 0
2222 1 -7.742600460450594 -8.427793296338939 2.3089032885382523 -2 -2 0
646 1 -8.057296119143217 -7.488936853534883 1.704330861617514 -2 1 0
2642 1 -8.288054256130689 -7.4743441025064685 2.7147360237831153 0 -2 0
5993 1 -6.865949997524391 -7.626072018411182 1.924047360267657 1 -1 0
1590 1 -6.009027510189051 -8.546384754050413 1.7169046989213819 3 -1 0
5402 1 -6.226824814484621 -8.503263834706496 2.774101799215582 7 -1 0
417 1 -4.1476430405984805 -7.724944358736172 2.0073662194353794 -1 4 0
1958 1 -3.125385530012838 -8.19282051062851 1.6631081712425062 -2 1 0
3126 1 -2.0358977873769337 -8.484709398185291 1.487745812820595 3 -2 0
6804 1 -1.607510832183221 -7.713409272565821 2.186614789355074 1 -2 0
990 1 -2.723629442312752 -7.646711375639071 2.761049677626071 2 2 0
4468 1 -0.6751546730721188 -7.255505204736447 2.6822255751192965 1 1 0
4620 1 -0.5555956898102082 -7.816348340199606 1.7075117494395486 -2 1 0
5223 1 0.7366928649177088 -8.263412769270698 2.1180733654031787 0 2 0
6920 1 0.8264867549049124 -7.307402884578438 2.7529546219850447 1 -3 0
1313 1 2.273318983311378 -7.754822519081664 2.208260929439937 3 1 0
5759 1 3.2724857480241476 -8.065566148930513 2.6139176148032592 -4 -1 0
2343 1 4.087029218721861 -7.810640973640091 1.4680957795624527 1 0 0
2593 1 5.104106675827565 -8.02547316997616 2.643997224206943 -1 1 0
3389 1 6.0069945050095965 -8.535718819845131 2.1961702990127208 4 1 0
6361 1 6.859799551016175 -8.32101858194623 2.7558655753662338 -1 4 0
873 1 5.786248562521637 -7.4820643944001946 1.669508718592488 0 -1 0
